,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure) (Sample),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure) (Sample),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure) (Sample),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure) (Sample),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure) (Sample),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination) (Sample),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure) (Sample)
3365,DOUGLAS COUNTY MEMORIAL HOSPITAL-CAH (431305),2023,Critical Access,Voluntary non-profit - Private,11.0,43.324825,-98.344824,SD,,,,,,,,,,,,,,,,,,,,,83.0,137.0,,,,,0.0,560.0,,,,,,,,,,,,,,,,,,,,
3366,PLATTE HEALTH CENTER (431306),2023,Critical Access,Voluntary non-profit - Private,65.0,43.384182,-98.836395,SD,,,,,,,,,,,,,,,,,,,,,96.0,113.0,,,,,0.0,678.0,,,218.0,18.0,135.0,515.0,,,,,,,,,,,,,,
3367,SANFORD CLEAR LAKE MEDICAL CENTER (431307),2023,Critical Access,Voluntary non-profit - Private,13.0,44.752678,-96.68256,SD,,,,,,,,,,,,,,,,,,,,,99.0,71.0,,,,,0.0,555.0,,,,,,,,,,,,,,,,,,,,
3368,EUREKA COMMUNITY HEALTH SERVICES - CAH (431308),2023,Critical Access,Government - Local,5.0,45.767196,-99.614453,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,270.0,,,,,,,,,,,,,,
3369,COMMUNITY MEMORIAL HOSPITAL (431309),2023,Critical Access,Voluntary non-profit - Private,16.0,,,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,11.0,114.0,302.0,,,,,,,,,,,,,,
3370,AVERA FLANDREAU HOSPITAL - CAH (431310),2023,Critical Access,Voluntary non-profit - Private,18.0,44.050568,-96.590989,SD,,,,,,,,,,,,,,,,,,,,,92.0,71.0,,,,,,,,,163.0,110.0,122.0,1199.0,,,,,,,,,,,,,,
3371,SANFORD HOSPITAL WEBSTER - CAH (431311),2023,Critical Access,Voluntary non-profit - Private,22.0,45.339079,-97.52149,SD,,,,,,,,,,,,,,,,,,,,,97.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3372,MARSHALL COUNTY HEALTHCARE CENTER - CAH (431312),2023,Critical Access,Proprietary,20.0,45.789215,-97.746049,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,19.0,116.0,524.0,,,,,,,,,,,,,,
3373,FREEMAN MEDICAL CENTER - CAH (431313),2023,Critical Access,Voluntary non-profit - Private,78.0,43.347543,-97.431046,SD,,,,,,,,,,,,,,,,,,,,,74.0,180.0,,,,,0.0,763.0,,,253.0,29.0,118.0,710.0,,,,,,,,,,,,,,
3374,WAGNER COMMUNITY MEMORIAL HOSPITAL - CAH (431315),2023,Critical Access,Voluntary non-profit - Other,20.0,43.079081,-98.300996,SD,,,,,,,,,,,,,,,,,,,,,54.0,110.0,,,,,,,,,230.0,81.0,118.0,1244.0,,,,,,,,,,,,,,
3375,COMMUNITY MEMORIAL HOSPITAL (431316),2023,Critical Access,Government - Local,24.0,44.871967,-98.520169,SD,,,,,,,,,,,,,,,,,,,,,98.0,160.0,,,,,0.0,1371.0,,,152.0,65.0,112.0,989.0,,,,,,,,,,,,,,
3376,LANDMANN-JUNGMAN MEMORIAL HOSPITAL - CAH (431317),2023,Critical Access,Government - Local,24.0,43.149494,-97.728104,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,14.0,116.0,304.0,,,,,,,,,,,,,,
3377,BOWDLE HOSPITAL - CAH (431318),2023,Critical Access,Government - Local,48.0,,,SD,,,,,,,,,,,,,,,,,,,,,96.0,108.0,,,,,0.0,677.0,,,,,94.0,269.0,,,,,,,,,,,,,,
3378,HANS P PETERSON MEMORIAL HOSPITAL - CAH (431319),2023,Critical Access,Voluntary non-profit - Private,49.0,,,SD,7.0,64.0,,,,,,,,,,,,,,,,,,,86.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,87.0,90.0
3379,MONUMENT HEALTH LEAD-DEADWOOD HOSPITAL (431320),2023,Critical Access,Voluntary non-profit - Private,18.0,44.370048,-103.728348,SD,,,,,,,,,,,,,,,,,,,,,89.0,154.0,,,,,,,,,,,114.0,149.0,,,,,,,,,,,,,94.0,79.0
3380,MONUMENT HEALTH STURGIS HOSPITAL (431321),2023,Critical Access,Voluntary non-profit - Other,109.0,44.402787,-103.509122,SD,,,,,,,,,89.0,18.0,,,,,,,,,,,97.0,251.0,,,,,,,,,,,128.0,136.0,,,,,,,,,94.0,18.0,92.0,13.0,98.0,163.0
3381,FALL RIVER HOSPITAL - CAH (431322),2023,Critical Access,Government - Local,63.0,43.418312,-103.480783,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,227.0,,,144.0,26.0,140.0,210.0,,,,,,,,,,,,,,
3382,MONUMENT HEALTH CUSTER HOSPITAL (431323),2023,Critical Access,Voluntary non-profit - Private,87.0,43.772816,-103.591173,SD,,,,,,,,,71.0,21.0,,,,,,,,,,,90.0,104.0,,,,,0.0,3426.0,,,,,143.0,175.0,,,,,,,,,90.0,21.0,89.0,19.0,95.0,97.0
3383,AVERA WESKOTA MEMORIAL MEDICAL CENTER - CAH (431324),2023,Critical Access,Voluntary non-profit - Private,16.0,44.080394,-98.563682,SD,,,,,,,,,,,,,,,,,,,,,100.0,51.0,,,,,,,,,,,110.0,287.0,,,,,,,,,,,,,,
3384,MOBRIDGE REGIONAL HOSPITAL - CAH (431325),2023,Critical Access,Voluntary non-profit - Private,25.0,45.546136,-100.448152,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,19.0,84.0,351.0,,,22.0,32.0,,,,,,,,,76.0,141.0
3385,MILBANK AREA HOSPITAL/AVERA HEALTH (431326),2023,Critical Access,Voluntary non-profit - Private,26.0,,,SD,,,,,,,,,,,,,,,,,,,,,83.0,137.0,,,,,,,,,194.0,35.0,119.0,715.0,,,,,,,,,,,,,,
3386,ST MICHAEL'S HOSPITAL - CAH (431327),2023,Critical Access,Government - Local,25.0,42.991253,-97.867896,SD,,,,,,,,,,,,,,,,,,,,,98.0,127.0,,,,,,,,,165.0,31.0,119.0,665.0,,,,,,,,,,,,,,
3387,PIONEER MEMORIAL HOSPITAL - CAH (431328),2023,Critical Access,Voluntary non-profit - Private,62.0,,,SD,,,,,,,,,,,,,,,85.0,13.0,,,,,97.0,184.0,,,,,0.0,821.0,,,,,,,,,,,,,,,,,,,,
3388,SANFORD CHAMBERLAIN MEDICAL CENTER (431329),2023,Critical Access,Voluntary non-profit - Private,69.0,43.78511,-99.326134,SD,,,,,,,,,,,,,,,,,,,,,97.0,255.0,,,,,0.0,4138.0,,,,,,,,,,,,,,,,,,,,
3389,AVERA ST BENEDICT HEALTH CENTER - CAH (431330),2023,Critical Access,Voluntary non-profit - Private,73.0,43.398945,-97.990061,SD,,,,,,,,,,,,,,,81.0,32.0,,,,,97.0,228.0,,,,,0.0,1127.0,,,125.0,48.0,99.0,823.0,,,22.0,55.0,,,,,,,,,,
3390,AVERA DELLS AREA HOSPITAL  - CAH (431331),2023,Critical Access,Voluntary non-profit - Private,21.0,43.828588,-96.715344,SD,,,,,,,,,,,,,,,,,,,,,87.0,113.0,,,,,,,,,151.0,13.0,111.0,368.0,,,,,,,,,,,,,,
3391,AVERA DE SMET MEMORIAL HOSPITAL - CAH (431332),2023,Critical Access,Voluntary non-profit - Private,9.0,,,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,633.0,,,,,,,,,,,,,,
3392,SANFORD CANTON-INWOOD MEDICAL CENTER - CAH (431333),2023,Critical Access,Voluntary non-profit - Private,14.0,43.304944,-96.557249,SD,,,,,,,,,,,,,,,,,,,,,99.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3393,HURON REGIONAL MEDICAL CENTER (431335),2023,Critical Access,Voluntary non-profit - Private,25.0,44.362035,-98.210751,SD,32.0,196.0,,,,,,,31.0,16.0,,,,,,,,,,,,,,,,,,,,,,,118.0,207.0,,,9.0,66.0,,,,,81.0,16.0,,,49.0,206.0
3394,SANFORD VERMILLION HOSPITAL (431336),2023,Critical Access,Voluntary non-profit - Private,25.0,42.778635,-96.919918,SD,,,,,,,,,,,,,,,,,,,,,99.0,208.0,,,,,0.0,3812.0,,,,,,,,,,,,,,,,,,,,
3395,AVERA HAND COUNTY MEMORIAL HOSPITAL AND CLINIC (431337),2023,Critical Access,Voluntary non-profit - Private,25.0,44.520623,-98.992044,SD,,,,,,,,,,,,,,,,,,,,,88.0,80.0,,,,,,,,,118.0,17.0,109.0,494.0,,,,,,,,,,,,,,
3396,AVERA GREGORY HOSPITAL (431338),2023,Critical Access,Voluntary non-profit - Private,80.0,,,SD,,,,,,,,,,,,,,,,,,,,,65.0,148.0,,,,,,,,,205.0,29.0,130.0,820.0,,,,,,,,,,,,,,
3397,COTEAU DES PRAIRIES HEALTH CARE SYSTEM (431339),2023,Critical Access,Voluntary non-profit - Private,25.0,45.658371,-97.050864,SD,,,,,,,,,,,,,,,,,,,,,93.0,128.0,,,,,0.0,4528.0,,,78.0,31.0,75.0,334.0,,,,,,,,,,,,,,
3398,UNICOI COUNTY  HOSPITAL (440001),2023,Acute Care,Voluntary non-profit - Private,62.0,36.121365,-82.445621,TN,113.0,190.0,,,,,,,55.0,58.0,,,,,,,,,,,98.0,169.0,,,,,1.0,7627.0,,,194.0,13.0,145.0,331.0,88.0,186.0,,,,,,,79.0,58.0,89.0,36.0,,
3399,JACKSON-MADISON COUNTY GENERAL HOSPITAL (440002),2023,Acute Care,Government - Hospital District or Authority,662.0,35.63954,-88.831973,TN,101.0,5245.0,92.0,27.0,,,,,54.0,599.0,97.0,370.0,95.0,366.0,97.0,87.0,,,65.0,17.0,81.0,6637.0,,,88.0,2320.0,5.0,95633.0,,,,,194.0,420.0,84.2,6241.0,,,67.0,197.0,85.0,109.0,74.0,599.0,89.0,313.0,,
3400,SUMNER REGIONAL MEDICAL CENTER (440003),2023,Acute Care,Proprietary,158.0,36.391117,-86.434341,TN,,,,,,,,,73.0,127.0,98.0,45.0,,,98.0,65.0,,,,,61.0,1552.0,,,96.0,433.0,5.0,39977.0,,,915.0,18.0,175.0,393.0,88.8,1558.0,19.0,1126.0,94.0,31.0,100.0,18.0,88.0,127.0,81.0,89.0,98.0,1514.0
3401,TRISTAR SKYLINE MEDICAL CENTER (440006),2023,Acute Care,Voluntary non-profit - Private,355.0,36.245301,-86.756463,TN,94.0,5292.0,128.0,118.0,,,94.0,240.0,67.0,151.0,,,,,95.0,41.0,,,,,40.0,2628.0,,,100.0,1923.0,2.0,54464.0,,,774.0,76.0,189.0,403.0,76.0,1365.0,,,75.0,53.0,91.0,35.0,82.0,153.0,95.0,92.0,100.0,4391.0
3402,UNITY MEDICAL CENTER (440007),2023,Acute Care,Physician,57.0,35.497932,-86.078141,TN,112.0,113.0,,,,,,,,,,,,,100.0,23.0,,,,,34.0,363.0,,,73.0,66.0,3.0,11603.0,,,175.0,24.0,115.0,334.0,81.7,343.0,,,,,,,,,,,58.0,336.0
3403,HENDERSON COUNTY COMMUNITY HOSPITAL (440008),2023,Acute Care,Proprietary,36.0,35.654195,-88.398838,TN,,,,,,,,,,,,,,,100.0,256.0,,,,,72.0,247.0,100.0,363.0,,,1.0,13677.0,,,,,99.0,53.0,68.5,200.0,,,,,,,,,,,,
3404,CUMBERLAND MEDICAL CENTER (440009),2023,Acute Care,Voluntary non-profit - Private,99.0,35.942713,-85.023007,TN,,,,,,,91.0,44.0,55.0,256.0,98.0,49.0,,,97.0,192.0,,,,,96.0,1043.0,,,94.0,363.0,17.0,24446.0,,,802.0,26.0,213.0,439.0,81.5,691.0,,,54.0,84.0,87.0,38.0,80.0,256.0,92.0,167.0,83.0,1409.0
3405,WAYNE MEDICAL CENTER (440010),2023,Acute Care,Voluntary non-profit - Other,30.0,35.325355,-87.757533,TN,32.0,105.0,,,,,,,76.0,21.0,,,,,76.0,51.0,,,,,62.0,196.0,,,,,1.0,5120.0,,,280.0,63.0,120.0,1284.0,85.1,147.0,,,,,,,86.0,21.0,83.0,12.0,,
3406,BLOUNT MEMORIAL HOSPITAL (440011),2023,Acute Care,Government - Local,294.0,35.754975,-83.958602,TN,,,,,,,,,73.0,103.0,,,,,83.0,78.0,,,89.0,28.0,65.0,2290.0,,,,,2.0,37779.0,,,390.0,16.0,210.0,371.0,78.7,2803.0,,,89.0,37.0,97.0,29.0,79.0,104.0,98.0,57.0,,
3407,WELLMONT BRISTOL REGIONAL MEDICAL CENTER (440012),2023,Acute Care,Government - Hospital District or Authority,293.0,,,TN,248.0,4315.0,306.0,62.0,61.0,28.0,92.0,106.0,47.0,150.0,93.0,125.0,92.0,122.0,,,,,92.0,12.0,99.0,4497.0,,,,,3.0,45264.0,,,460.0,20.0,214.0,321.0,90.0,2080.0,,,41.0,41.0,77.0,13.0,77.0,150.0,81.0,84.0,,
3408,"UNIVERSITY HEALTH SYSTEM, INC (440015)",2023,Acute Care,Voluntary non-profit - Private,608.0,35.93826,-83.946678,TN,,,,,,,,,42.0,128.0,98.0,307.0,97.0,295.0,100.0,133.0,,,50.0,12.0,78.0,5834.0,,,97.0,3236.0,3.0,85354.0,,,805.0,25.0,269.0,369.0,89.6,5975.0,,,62.0,34.0,76.0,17.0,71.0,129.0,74.0,76.0,85.0,6811.0
3409,BAPTIST MEMORIAL HOSPITAL - CARROLL COUNTY (440016),2023,Acute Care,Voluntary non-profit - Private,60.0,36.023041,-88.413492,TN,43.0,256.0,,,,,,,67.0,82.0,,,,,95.0,22.0,,,,,99.0,406.0,,,,,1.0,9083.0,,,222.0,30.0,102.0,353.0,95.1,451.0,21.0,161.0,83.0,24.0,,,74.0,82.0,98.0,53.0,99.0,261.0
3410,WELLMONT HOLSTON VALLEY MEDICAL CENTER (440017),2023,Acute Care,Voluntary non-profit - Private,342.0,36.553005,-82.55426,TN,591.0,4508.0,1354.0,58.0,50.0,26.0,89.0,125.0,47.0,116.0,96.0,114.0,93.0,113.0,95.0,22.0,,,,,98.0,4733.0,,,,,2.0,43694.0,,,530.0,18.0,207.0,322.0,90.0,2389.0,,,55.0,38.0,79.0,19.0,69.0,116.0,94.0,62.0,,
3411,SYCAMORE SHOALS HOSPITAL (440018),2023,Acute Care,Voluntary non-profit - Private,121.0,36.343941,-82.249623,TN,237.0,1159.0,,,,,,,47.0,57.0,,,,,100.0,49.0,,,42.0,12.0,100.0,712.0,,,,,4.0,18675.0,,,1039.0,14.0,205.0,326.0,90.5,715.0,,,60.0,15.0,,,67.0,58.0,88.0,16.0,,
3412,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI (440020),2023,Acute Care,Proprietary,95.0,35.19129,-87.004322,TN,,,,,,,,,63.0,59.0,,,,,93.0,67.0,,,,,72.0,395.0,,,92.0,53.0,3.0,12308.0,,,740.0,28.0,125.0,427.0,72.1,374.0,17.0,115.0,84.0,19.0,58.0,12.0,76.0,59.0,100.0,38.0,91.0,375.0
3413,WILLIAMSON MEDICAL CENTER (440029),2023,Acute Care,Government - Hospital District or Authority,190.0,35.916684,-86.817047,TN,67.0,2852.0,71.0,47.0,,,97.0,59.0,79.0,185.0,99.0,82.0,98.0,82.0,98.0,555.0,,,76.0,25.0,81.0,2690.0,,,,,2.0,49499.0,,,252.0,16.0,184.0,360.0,84.8,2692.0,,,76.0,70.0,87.0,39.0,92.0,185.0,98.0,131.0,,
3414,MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION (440030),2023,Acute Care,Government - Local,131.0,36.211948,-83.304345,TN,,,,,,,94.0,53.0,52.0,332.0,100.0,56.0,95.0,55.0,15.0,20.0,,,73.0,11.0,94.0,1341.0,,,95.0,451.0,6.0,34682.0,,,344.0,23.0,226.0,470.0,80.6,817.0,,,63.0,106.0,90.0,52.0,66.0,332.0,98.0,161.0,,
3415,ROANE MEDICAL CENTER (440031),2023,Acute Care,Government - Hospital District or Authority,50.0,35.888312,-84.554418,TN,,,,,,,,,64.0,264.0,96.0,25.0,92.0,25.0,91.0,78.0,,,,,97.0,637.0,,,95.0,192.0,3.0,21658.0,62.0,11.0,345.0,25.0,180.0,458.0,86.0,343.0,,,65.0,84.0,94.0,47.0,81.0,264.0,94.0,165.0,,
3416,HAWKINS COUNTY MEMORIAL HOSPITAL (440032),2023,Acute Care,Voluntary non-profit - Private,37.0,36.399736,-83.012943,TN,40.0,77.0,,,,,,,58.0,43.0,,,,,,,,,,,98.0,125.0,,,,,1.0,11985.0,,,,,98.0,346.0,89.6,243.0,,,,,,,79.0,43.0,97.0,30.0,,
3417,LAFOLLETTE MEDICAL CENTER (440033),2023,Acute Care,Voluntary non-profit - Church,142.0,36.387967,-84.111365,TN,,,,,,,,,30.0,100.0,,,,,,,,,,,72.0,325.0,,,,,2.0,15163.0,71.0,13.0,1358.0,17.0,186.0,378.0,87.2,365.0,,,30.0,33.0,,,67.0,100.0,89.0,56.0,,
3418,METHODIST MEDICAL CENTER OF OAK RIDGE (440034),2023,Acute Care,Voluntary non-profit - Private,208.0,36.023397,-84.2439,TN,,,,,,,85.0,61.0,50.0,340.0,99.0,68.0,97.0,67.0,95.0,274.0,,,,,95.0,1633.0,,,,,6.0,33589.0,,,465.0,38.0,251.0,459.0,90.9,1025.0,,,43.0,100.0,79.0,39.0,72.0,340.0,97.0,182.0,79.0,2722.0
3419,TENNOVA HEALTHCARE-CLARKSVILLE (440035),2023,Acute Care,Government - Hospital District or Authority,261.0,36.580414,-87.268485,TN,,,,,,,92.0,51.0,45.0,208.0,93.0,61.0,95.0,60.0,92.0,84.0,,,83.0,30.0,78.0,2260.0,,,,,5.0,91566.0,,,780.0,16.0,174.0,397.0,89.8,1555.0,,,62.0,68.0,43.0,28.0,75.0,208.0,82.0,98.0,,
3420,VANDERBILT UNIVERSITY MEDICAL CENTER (440039),2023,Acute Care,Voluntary non-profit - Private,1019.0,36.142832,-86.800174,TN,,,,,,,,,19.0,78.0,96.0,304.0,97.0,293.0,93.0,98.0,,,36.0,11.0,93.0,34025.0,,,92.0,4581.0,4.0,126050.0,,,358.0,21.0,249.0,371.0,93.2,28610.0,17.0,8550.0,33.0,21.0,,,58.0,78.0,55.0,29.0,,
3421,TRISTAR HORIZON MEDICAL CENTER (440046),2023,Acute Care,Proprietary,119.0,36.07212,-87.374808,TN,136.0,2259.0,129.0,36.0,,,95.0,42.0,73.0,345.0,,,,,94.0,18.0,,,89.0,19.0,36.0,1131.0,,,99.0,312.0,0.0,48598.0,,,569.0,21.0,127.0,443.0,69.8,961.0,,,64.0,96.0,93.0,57.0,86.0,345.0,99.0,217.0,97.0,1756.0
3422,BAPTIST MEMORIAL HOSPITAL (440048),2023,Acute Care,Voluntary non-profit - Private,808.0,35.130758,-89.861022,TN,370.0,10029.0,542.0,80.0,,,94.0,326.0,76.0,534.0,,,,,100.0,58.0,,,,,90.0,1828.0,,,,,4.0,108787.0,,,,,171.0,703.0,93.1,5254.0,16.0,5882.0,86.0,97.0,95.0,57.0,85.0,535.0,90.0,313.0,98.0,8709.0
3423,METHODIST HOSPITALS OF MEMPHIS (440049),2023,Acute Care,Voluntary non-profit - Church,1358.0,35.137088,-90.019145,TN,,,,,,,92.0,622.0,33.0,370.0,96.0,784.0,98.0,772.0,100.0,121.0,,,72.0,18.0,95.0,11327.0,,,,,4.0,273246.0,,,,,244.0,383.0,99.2,9952.0,,,42.0,64.0,72.0,25.0,55.0,371.0,73.0,134.0,83.0,15527.0
3424,GREENEVILLE COMMUNITY HOSPITAL (440050),2023,Acute Care,Voluntary non-profit - Private,121.0,36.175393,-82.790893,TN,394.0,1718.0,,,,,,,47.0,108.0,,,,,100.0,66.0,,,,,99.0,1021.0,,,,,3.0,26808.0,80.0,14.0,354.0,19.0,178.0,342.0,84.5,889.0,,,43.0,42.0,57.0,14.0,81.0,108.0,93.0,59.0,,
3425,SAINT THOMAS RUTHERFORD HOSPITAL (440053),2023,Acute Care,Voluntary non-profit - Church,298.0,35.85864,-86.424241,TN,179.0,4304.0,191.0,77.0,,,,,28.0,125.0,,,,,66.0,56.0,,,74.0,19.0,83.0,2852.0,,,94.0,1042.0,3.0,78293.0,,,392.0,22.0,205.0,373.0,93.6,2200.0,,,38.0,34.0,75.0,12.0,57.0,125.0,80.0,56.0,86.0,5694.0
3426,TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL (440056),2023,Acute Care,Proprietary,58.0,36.10686,-83.51964,TN,,,,,,,,,48.0,143.0,,,,,93.0,68.0,,,47.0,15.0,60.0,569.0,,,,,1.0,26214.0,,,330.0,16.0,171.0,395.0,84.3,686.0,,,43.0,23.0,,,66.0,143.0,87.0,77.0,,
3427,CLAIBORNE MEDICAL CENTER (440057),2023,Acute Care,Government - Local,143.0,36.453341,-83.571972,TN,,,,,,,,,58.0,95.0,,,,,98.0,65.0,,,,,93.0,513.0,,,,,3.0,14456.0,,,386.0,14.0,158.0,458.0,85.8,317.0,,,53.0,36.0,94.0,16.0,80.0,96.0,96.0,54.0,,
3428,SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER (440058),2023,Acute Care,Proprietary,198.0,35.176023,-86.091076,TN,,,,,,,92.0,38.0,36.0,45.0,,,,,75.0,101.0,,,67.0,15.0,54.0,933.0,,,94.0,241.0,1.0,25162.0,,,274.0,18.0,137.0,427.0,75.1,1120.0,18.0,697.0,,,,,49.0,45.0,78.0,18.0,88.0,766.0
3429,COOKEVILLE REGIONAL MEDICAL CENTER (440059),2023,Acute Care,Government - Local,240.0,36.16996,-85.50935,TN,,,,,,,,,54.0,979.0,96.0,116.0,93.0,116.0,96.0,345.0,,,94.0,18.0,74.0,2704.0,,,,,3.0,49277.0,,,599.0,21.0,202.0,351.0,82.1,3240.0,19.0,1895.0,73.0,290.0,81.0,172.0,74.0,979.0,87.0,592.0,,
3430,WEST TENNESSEE HEALTHCARE MILAN HOSPITAL (440060),2023,Acute Care,Government - Local,47.0,35.913311,-88.753495,TN,76.0,64.0,,,,,,,46.0,24.0,,,,,79.0,14.0,,,,,80.0,138.0,,,,,2.0,11640.0,,,,,110.0,404.0,82.8,124.0,,,,,,,58.0,24.0,82.0,11.0,58.0,170.0
3431,VOLUNTEER COMMUNITY HOSPITAL (440061),2023,Acute Care,Proprietary,44.0,36.333569,-88.869022,TN,44.0,270.0,,,,,,,43.0,44.0,,,,,62.0,13.0,,,,,80.0,371.0,,,85.0,104.0,1.0,11336.0,,,160.0,18.0,123.0,380.0,79.6,343.0,,,47.0,15.0,,,66.0,44.0,95.0,21.0,,
3432,JOHNSON CITY MEDICAL CENTER (440063),2023,Acute Care,Voluntary non-profit - Private,552.0,36.30826,-82.38649,TN,235.0,6388.0,259.0,103.0,69.0,54.0,85.0,211.0,49.0,104.0,94.0,194.0,94.0,194.0,,,,,,,99.0,5375.0,,,,,2.0,53226.0,,,817.0,21.0,194.0,338.0,90.1,3074.0,,,47.0,30.0,64.0,11.0,74.0,104.0,91.0,55.0,,
3433,TRISTAR NORTHCREST MEDICAL CENTER (440065),2023,Acute Care,Voluntary non-profit - Other,109.0,36.479518,-86.888898,TN,,,,,,,0.0,31.0,76.0,63.0,0.0,37.0,0.0,37.0,99.0,103.0,,,91.0,11.0,69.0,1009.0,,,,,4.0,24676.0,,,295.0,22.0,170.0,481.0,77.6,660.0,,,86.0,29.0,100.0,25.0,86.0,63.0,95.0,41.0,0.0,650.0
