,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
3725,CORYELL MEMORIAL HEALTHCARE SYSTEM (451379),2020,Critical Access,Government - Hospital District or Authority,25.0,31.433152,-97.778822,TX,,,,,,,,,,,,,94.0,668.0,,,2.0,8215.0,,,,,56.0,397.0,165.0,361.0,,,,,,,,,,
3726,UT HEALTH EAST TEXAS QUITMAN HOSPITAL (451380),2020,Critical Access,Voluntary non-profit - Private,25.0,32.796155,-95.445296,TX,85.0,60.0,84.0,55.0,96.0,45.0,,,,,70.0,27.0,96.0,283.0,,,1.0,11995.0,,,,,84.0,571.0,148.0,280.0,,,96.0,53.0,,,92.0,61.0,96.0,51.0
3727,COMANCHE COUNTY MEDICAL CENTER (451382),2020,Critical Access,Voluntary non-profit - Private,25.0,31.984614,-98.563264,TX,,,,,,,,,,,,,,,,,1.0,4875.0,,,,,44.0,333.0,103.0,376.0,,,,,,,,,,
3728,COGDELL MEMORIAL HOSPITAL (451384),2020,Critical Access,Government - Hospital District or Authority,25.0,32.688519,-100.916021,TX,,,80.0,30.0,,,,,,,,,,,,,,,,,129.0,14.0,33.0,363.0,114.0,395.0,0.0,21.0,,,,,,,,
3729,GOODALL WITCHER HOSPITAL (451385),2020,Critical Access,Government - Hospital District or Authority,25.0,31.777153,-97.588431,TX,17.0,12.0,95.0,62.0,100.0,51.0,,,,,,,91.0,289.0,,,0.0,4277.0,,,141.0,11.0,42.0,158.0,84.0,353.0,,,,,,,58.0,12.0,,
3730,MEMORIAL HOSPITAL (451386),2020,Critical Access,Government - Hospital District or Authority,20.0,35.864264,-101.971006,TX,,,100.0,23.0,100.0,22.0,,,,,,,,,,,0.0,7614.0,,,113.0,17.0,26.0,185.0,69.0,342.0,27.0,30.0,,,,,,,,
3731,UVALDE MEMORIAL HOSPITAL (451387),2020,Critical Access,Government - Hospital District or Authority,21.0,29.215126,-99.768668,TX,81.0,111.0,,,,,,,,,81.0,16.0,,,,,2.0,23001.0,,,153.0,21.0,36.0,593.0,160.0,886.0,0.0,80.0,95.0,99.0,67.0,18.0,91.0,111.0,99.0,94.0
3732,FRIO REGIONAL HOSPITAL (451391),2020,Critical Access,Voluntary non-profit - Private,23.0,28.897048,-99.116013,TX,,,,,,,,,,,,,95.0,155.0,,,,,,,,,50.0,34.0,112.0,188.0,0.0,22.0,,,,,,,,
3733,HAMILTON GENERAL HOSPITAL (451392),2020,Critical Access,Government - Hospital District or Authority,25.0,31.703852,-98.113462,TX,66.0,38.0,92.0,116.0,100.0,37.0,,,,,37.0,19.0,,,,,0.0,5927.0,,,154.0,62.0,53.0,419.0,119.0,1380.0,,,76.0,33.0,,,89.0,38.0,100.0,27.0
3734,HILL REGIONAL HOSPITAL (451395),2020,Critical Access,Voluntary non-profit - Private,25.0,32.011912,-97.099153,TX,,,,,,,,,,,,,,,,,,,,,,,,,94.0,99.0,,,,,,,,,,
3735,UTAH VALLEY HOSPITAL (460001),2020,Acute Care,Voluntary non-profit - Private,370.0,40.248084,-111.667383,UT,70.0,128.0,97.0,151.0,97.0,129.0,93.0,14.0,,,82.0,11.0,91.0,5403.0,,,1.0,48313.0,,,192.0,56.0,57.0,413.0,157.0,444.0,1.0,89.0,88.0,104.0,67.0,12.0,88.0,128.0,90.0,80.0
3736,SALT LAKE REGIONAL MEDICAL CENTER (460003),2020,Acute Care,Proprietary,144.0,40.769348,-111.861175,UT,83.0,196.0,71.0,17.0,44.0,27.0,,,,,,,98.0,871.0,,,1.0,9649.0,,,218.0,53.0,55.0,173.0,130.0,377.0,12.0,40.0,94.0,173.0,98.0,41.0,91.0,196.0,96.0,136.0
3737,MCKAY DEE HOSPITAL (460004),2020,Acute Care,Voluntary non-profit - Private,312.0,41.182796,-111.949118,UT,57.0,161.0,96.0,147.0,94.0,151.0,85.0,47.0,,,53.0,17.0,90.0,4312.0,,,2.0,62496.0,,,190.0,31.0,97.0,513.0,148.0,467.0,1.0,105.0,83.0,113.0,70.0,20.0,71.0,161.0,97.0,75.0
3738,OGDEN REGIONAL MEDICAL CENTER (460005),2020,Acute Care,Proprietary,177.0,41.163502,-111.96862,UT,65.0,133.0,,,,,95.0,20.0,,,92.0,13.0,92.0,1628.0,,,0.0,26772.0,,,179.0,21.0,51.0,526.0,114.0,491.0,1.0,72.0,86.0,107.0,45.0,11.0,85.0,133.0,92.0,78.0
3739,LDS HOSPITAL (460006),2020,Acute Care,Voluntary non-profit - Private,244.0,40.778509,-111.880576,UT,63.0,93.0,97.0,127.0,99.0,131.0,85.0,13.0,,,,,88.0,2652.0,,,1.0,22989.0,,,194.0,65.0,68.0,266.0,160.0,422.0,3.0,72.0,90.0,71.0,72.0,18.0,80.0,93.0,95.0,60.0
3740,CEDAR CITY HOSPITAL (460007),2020,Acute Care,Voluntary non-profit - Private,48.0,37.700591,-113.063985,UT,49.0,116.0,97.0,128.0,97.0,121.0,,,,,75.0,20.0,93.0,927.0,,,0.0,18322.0,36.0,12.0,106.0,27.0,63.0,240.0,102.0,466.0,0.0,45.0,77.0,81.0,62.0,13.0,75.0,116.0,92.0,75.0
3741,UNIVERSITY OF UTAH HOSPITALS AND CLINICS (460009),2020,Acute Care,Government - State,602.0,40.772019,-111.837022,UT,48.0,75.0,96.0,72.0,95.0,96.0,76.0,66.0,,,,,100.0,18716.0,,,2.0,61456.0,,,287.0,43.0,74.0,311.0,226.0,326.0,0.0,70.0,90.0,40.0,,,71.0,75.0,66.0,38.0
3742,INTERMOUNTAIN MEDICAL CENTER (460010),2020,Acute Care,Voluntary non-profit - Private,487.0,40.658731,-111.894491,UT,42.0,172.0,98.0,246.0,96.0,243.0,85.0,47.0,,,37.0,27.0,92.0,8186.0,,,1.0,86825.0,,,267.0,38.0,73.0,589.0,189.0,462.0,3.0,99.0,65.0,117.0,74.0,23.0,73.0,172.0,90.0,91.0
3743,CASTLEVIEW HOSPITAL (460011),2020,Acute Care,Proprietary,45.0,39.605402,-110.831911,UT,68.0,44.0,100.0,103.0,100.0,69.0,,,87.0,15.0,,,98.0,468.0,,,0.0,2872.0,,,128.0,13.0,44.0,376.0,103.0,404.0,4.0,47.0,87.0,39.0,,,93.0,44.0,95.0,37.0
3744,MOUNTAIN VIEW HOSPITAL (460013),2020,Acute Care,Proprietary,124.0,40.044633,-111.715257,UT,71.0,113.0,96.0,100.0,98.0,102.0,,,,,,,94.0,384.0,,,0.0,13454.0,,,158.0,30.0,57.0,458.0,112.0,406.0,2.0,54.0,87.0,95.0,84.0,19.0,90.0,115.0,92.0,85.0
3745,MOUNTAIN WEST MEDICAL CENTER (460014),2020,Acute Care,Proprietary,36.0,,,UT,84.0,76.0,100.0,73.0,81.0,43.0,,,,,87.0,15.0,99.0,514.0,,,1.0,15968.0,,,270.0,19.0,49.0,312.0,129.0,394.0,0.0,42.0,98.0,66.0,93.0,15.0,88.0,76.0,98.0,52.0
3746,LOGAN REGIONAL HOSPITAL (460015),2020,Acute Care,Voluntary non-profit - Private,137.0,41.757461,-111.822877,UT,61.0,97.0,93.0,130.0,89.0,153.0,,,,,77.0,31.0,91.0,1842.0,,,0.0,27255.0,,,160.0,29.0,109.0,380.0,126.0,462.0,1.0,87.0,81.0,77.0,69.0,13.0,82.0,97.0,94.0,54.0
3747,BRIGHAM CITY COMMUNITY HOSPITAL (460017),2020,Acute Care,Proprietary,40.0,41.49107,-112.024441,UT,51.0,75.0,97.0,101.0,100.0,101.0,,,,,88.0,16.0,98.0,300.0,,,0.0,7999.0,,,219.0,21.0,55.0,446.0,97.0,405.0,4.0,46.0,76.0,50.0,,,69.0,75.0,95.0,38.0
3748,UINTAH BASIN MEDICAL CENTER (460019),2020,Acute Care,Voluntary non-profit - Other,87.0,40.302755,-109.997086,UT,64.0,85.0,91.0,110.0,88.0,64.0,,,,,,,,,,,0.0,10727.0,,,99.0,18.0,43.0,584.0,100.0,320.0,2.0,82.0,87.0,69.0,62.0,16.0,88.0,86.0,88.0,49.0
3749,DIXIE REGIONAL MEDICAL CENTER (460021),2020,Acute Care,Voluntary non-profit - Private,262.0,37.09985,-113.55333,UT,61.0,175.0,94.0,125.0,92.0,101.0,78.0,18.0,,,77.0,13.0,91.0,4302.0,,,1.0,54823.0,,,180.0,13.0,80.0,629.0,136.0,483.0,4.0,72.0,81.0,143.0,60.0,35.0,85.0,175.0,94.0,88.0
3750,AMERICAN FORK HOSPITAL (460023),2020,Acute Care,Voluntary non-profit - Private,87.0,40.380506,-111.769094,UT,71.0,106.0,97.0,128.0,93.0,118.0,,,,,70.0,27.0,88.0,1514.0,,,1.0,29791.0,32.0,23.0,177.0,19.0,58.0,314.0,140.0,466.0,1.0,93.0,86.0,90.0,,,86.0,106.0,99.0,73.0
3751,SEVIER VALLEY HOSPITAL (460026),2020,Acute Care,Voluntary non-profit - Private,24.0,38.783275,-112.084663,UT,46.0,41.0,97.0,103.0,100.0,73.0,,,,,,,92.0,310.0,,,2.0,7197.0,,,288.0,30.0,66.0,208.0,113.0,453.0,0.0,35.0,74.0,27.0,,,68.0,41.0,96.0,24.0
3752,ASHLEY REGIONAL MEDICAL CENTER (460030),2020,Acute Care,Proprietary,38.0,40.45779,-109.530464,UT,65.0,57.0,88.0,85.0,100.0,19.0,,,,,,,100.0,456.0,,,1.0,11985.0,,,158.0,24.0,51.0,427.0,108.0,459.0,0.0,34.0,82.0,49.0,,,86.0,57.0,100.0,34.0
3753,BEAR RIVER VALLEY HOSPITAL (460039),2020,Acute Care,Voluntary non-profit - Private,16.0,41.723768,-112.181979,UT,72.0,29.0,97.0,58.0,100.0,26.0,,,,,,,89.0,252.0,,,1.0,5911.0,,,157.0,26.0,59.0,210.0,105.0,446.0,0.0,19.0,100.0,22.0,,,76.0,29.0,100.0,17.0
3754,DAVIS HOSPITAL AND MEDICAL CENTER (460041),2020,Acute Care,Proprietary,204.0,41.089242,-111.995471,UT,65.0,262.0,95.0,416.0,78.0,630.0,,,,,55.0,20.0,97.0,1662.0,,,1.0,40622.0,,,179.0,56.0,60.0,670.0,120.0,906.0,2.0,52.0,86.0,209.0,56.0,18.0,83.0,262.0,94.0,143.0
3755,LAKEVIEW HOSPITAL (460042),2020,Acute Care,Proprietary,98.0,40.886855,-111.868618,UT,61.0,192.0,,,54.0,13.0,,,,,100.0,15.0,98.0,977.0,,,0.0,16339.0,,,142.0,23.0,65.0,532.0,132.0,436.0,0.0,55.0,83.0,159.0,61.0,36.0,86.0,192.0,94.0,120.0
3756,OREM COMMUNITY HOSPITAL (460043),2020,Acute Care,Voluntary non-profit - Private,20.0,40.303255,-111.705407,UT,,,,,,,,,,,,,89.0,465.0,,,1.0,6429.0,,,167.0,19.0,,,96.0,451.0,8.0,39.0,,,,,,,,
3757,ALTA VIEW HOSPITAL (460044),2020,Acute Care,Voluntary non-profit - Private,64.0,40.57736,-111.853191,UT,53.0,96.0,97.0,130.0,96.0,133.0,,,,,,,87.0,1336.0,,,1.0,20503.0,23.0,19.0,236.0,33.0,63.0,254.0,146.0,450.0,0.0,57.0,85.0,61.0,,,70.0,96.0,88.0,49.0
3758,ST MARK'S HOSPITAL (460047),2020,Acute Care,Voluntary non-profit - Other,275.0,40.687062,-111.857446,UT,58.0,108.0,53.0,15.0,57.0,37.0,,,,,,,87.0,2418.0,,,0.0,49187.0,,,238.0,30.0,63.0,474.0,129.0,470.0,0.0,50.0,87.0,84.0,54.0,24.0,85.0,109.0,89.0,74.0
3759,THE ORTHOPEDIC SPECIALTY HOSPITAL (460049),2020,Acute Care,Voluntary non-profit - Private,38.0,,,UT,,,,,,,,,,,,,89.0,629.0,,,,,,,,,,,,,,,,,,,,,,
3760,JORDAN VALLEY MEDICAL CENTER (460051),2020,Acute Care,Voluntary non-profit - Other,294.0,40.587958,-111.975285,UT,62.0,692.0,94.0,32.0,63.0,57.0,,,,,81.0,26.0,98.0,4158.0,,,0.0,60829.0,,,221.0,37.0,93.0,709.0,156.0,731.0,2.0,356.0,91.0,485.0,93.0,122.0,75.0,692.0,92.0,392.0
3761,TIMPANOGOS REGIONAL HOSPITAL (460052),2020,Acute Care,Proprietary,117.0,40.312173,-111.71499,UT,56.0,73.0,100.0,92.0,,,,,,,,,86.0,1425.0,,,0.0,17576.0,,,204.0,33.0,50.0,381.0,107.0,407.0,0.0,41.0,70.0,61.0,,,86.0,73.0,95.0,44.0
3762,CACHE VALLEY HOSPITAL (460054),2020,Acute Care,Proprietary,25.0,41.775714,-111.823092,UT,70.0,30.0,,,,,,,,,,,92.0,396.0,,,0.0,3528.0,,,74.0,12.0,58.0,189.0,107.0,369.0,0.0,19.0,92.0,24.0,,,80.0,30.0,100.0,21.0
3763,PARK CITY HOSPITAL (460057),2020,Acute Care,Proprietary,34.0,40.687697,-111.468952,UT,70.0,46.0,99.0,127.0,88.0,112.0,,,,,,,94.0,741.0,,,0.0,11183.0,47.0,12.0,208.0,22.0,102.0,177.0,123.0,452.0,0.0,56.0,89.0,36.0,,,83.0,46.0,92.0,25.0
3764,RIVERTON HOSPITAL (460058),2020,Acute Care,Voluntary non-profit - Private,88.0,40.522238,-111.979725,UT,49.0,101.0,92.0,129.0,95.0,130.0,,,,,85.0,13.0,90.0,1709.0,,,1.0,29695.0,35.0,19.0,228.0,18.0,65.0,315.0,156.0,460.0,1.0,86.0,87.0,61.0,,,64.0,101.0,92.0,50.0
3765,LONE PEAK HOSPITAL (460060),2020,Acute Care,Proprietary,33.0,40.535238,-111.891464,UT,70.0,61.0,75.0,20.0,97.0,32.0,,,,,,,100.0,639.0,,,0.0,12149.0,,,158.0,21.0,56.0,228.0,114.0,431.0,0.0,49.0,92.0,52.0,45.0,11.0,87.0,61.0,98.0,43.0
3766,LAYTON HOSPITAL (460061),2020,Acute Care,Voluntary non-profit - Private,36.0,41.054447,-111.96761,UT,68.0,97.0,,,,,,,,,,,86.0,878.0,,,,,49.0,11.0,253.0,13.0,77.0,261.0,146.0,467.0,2.0,46.0,88.0,75.0,,,79.0,97.0,96.0,53.0
3767,DELTA COMMUNITY HOSPITAL (461300),2020,Critical Access,Voluntary non-profit - Private,18.0,39.350294,-112.560023,UT,50.0,18.0,94.0,50.0,100.0,25.0,,,,,,,93.0,119.0,,,,,,,270.0,11.0,47.0,101.0,110.0,334.0,,,,,,,61.0,18.0,,
3768,FILLMORE COMMUNITY HOSPITAL (461301),2020,Critical Access,Voluntary non-profit - Private,16.0,38.954161,-112.339455,UT,67.0,12.0,91.0,22.0,,,,,,,,,95.0,101.0,,,0.0,1674.0,,,174.0,22.0,41.0,83.0,128.0,328.0,,,,,,,100.0,12.0,,
3769,SANPETE VALLEY HOSPITAL - CAH (461303),2020,Critical Access,Voluntary non-profit - Private,18.0,39.531803,-111.461194,UT,70.0,20.0,100.0,91.0,96.0,75.0,,,,,,,93.0,201.0,,,0.0,4943.0,,,198.0,38.0,62.0,185.0,102.0,428.0,7.0,15.0,100.0,14.0,,,85.0,20.0,75.0,12.0
3770,CENTRAL VALLEY MEDICAL CENTER - CAH (461304),2020,Critical Access,Voluntary non-profit - Private,25.0,39.730587,-111.837215,UT,,,100.0,72.0,98.0,52.0,,,,,,,,,,,1.0,4137.0,,,191.0,26.0,23.0,243.0,103.0,404.0,,,,,,,,,,
3771,MILFORD MEMORIAL HOSPITAL (461305),2020,Critical Access,Government - Hospital District or Authority,24.0,38.407308,-113.009543,UT,,,,,,,,,,,,,100.0,103.0,,,,,,,157.0,17.0,46.0,14.0,89.0,361.0,,,,,,,,,,
3772,HEBER VALLEY HOSPITAL (461307),2020,Critical Access,Voluntary non-profit - Private,19.0,40.489047,-111.409218,UT,50.0,24.0,90.0,106.0,97.0,37.0,,,,,92.0,12.0,89.0,313.0,,,0.0,6298.0,,,192.0,26.0,110.0,253.0,111.0,428.0,4.0,26.0,80.0,15.0,,,67.0,24.0,92.0,12.0
3773,SAN JUAN HOSPITAL (461308),2020,Critical Access,Government - Local,22.0,37.873875,-109.350062,UT,,,,,,,,,,,,,97.0,124.0,,,,,,,156.0,16.0,4.0,50.0,122.0,384.0,,,,,,,,,,
3774,GARFIELD MEMORIAL HOSPITAL (461333),2020,Critical Access,Voluntary non-profit - Other,36.0,37.828772,-112.435476,UT,47.0,15.0,89.0,19.0,88.0,16.0,,,,,,,87.0,198.0,,,1.0,2718.0,,,,,23.0,139.0,96.0,357.0,0.0,11.0,,,,,73.0,15.0,,
3775,BEAVER VALLEY HOSPITAL (461335),2020,Critical Access,Government - Local,25.0,38.289258,-112.643204,UT,,,,,,,,,,,,,,,,,0.0,1841.0,,,118.0,20.0,9.0,61.0,95.0,586.0,,,,,,,,,,
3776,PRIMARY CHILDRENS HOSPITAL (463301),2020,Childrens,Voluntary non-profit - Private,288.0,40.771331,-111.840344,UT,,,,,,,,,,,,,86.0,7038.0,,,,,,,,,,,,,,,,,,,,,,
3777,CENTRAL VERMONT MEDICAL CENTER (470001),2020,Acute Care,Voluntary non-profit - Private,79.0,,,VT,64.0,306.0,100.0,108.0,98.0,107.0,100.0,24.0,,,64.0,22.0,92.0,2207.0,,,0.0,25207.0,50.0,14.0,165.0,26.0,148.0,586.0,147.0,366.0,0.0,20.0,79.0,259.0,46.0,26.0,85.0,306.0,99.0,159.0
3778,UNIV. OF VERMONT - FLETCHER ALLEN HEALTH CARE (470003),2020,Acute Care,Voluntary non-profit - Other,456.0,44.480991,-73.195518,VT,29.0,112.0,99.0,82.0,100.0,92.0,100.0,97.0,,,23.0,13.0,78.0,10126.0,,,2.0,59805.0,,,222.0,128.0,97.0,559.0,202.0,1161.0,6.0,17.0,52.0,65.0,58.0,12.0,74.0,112.0,68.0,57.0
3779,RUTLAND REGIONAL MEDICAL CENTER (470005),2020,Acute Care,Voluntary non-profit - Other,124.0,43.599188,-72.956195,VT,53.0,305.0,98.0,130.0,96.0,125.0,,,,,54.0,13.0,,,,,1.0,33564.0,,,340.0,31.0,130.0,939.0,171.0,407.0,0.0,16.0,82.0,210.0,64.0,39.0,71.0,305.0,95.0,155.0
3780,BRATTLEBORO MEMORIAL HOSPITAL (470011),2020,Acute Care,Voluntary non-profit - Private,47.0,42.84207,-72.564643,VT,38.0,60.0,97.0,88.0,99.0,67.0,,,,,,,,,,,0.0,14281.0,,,534.0,46.0,120.0,320.0,170.0,369.0,0.0,25.0,64.0,39.0,,,89.0,61.0,65.0,40.0
3781,SOUTHWESTERN VERMONT MEDICAL CENTER (470012),2020,Acute Care,Voluntary non-profit - Private,76.0,42.873911,-73.204343,VT,61.0,145.0,98.0,64.0,96.0,84.0,88.0,16.0,,,85.0,13.0,99.0,1697.0,,,1.0,23751.0,,,419.0,33.0,140.0,564.0,184.0,348.0,3.0,34.0,78.0,120.0,31.0,16.0,86.0,147.0,96.0,97.0
3782,NORTHWESTERN MEDICAL CENTER INC (470024),2020,Acute Care,Voluntary non-profit - Other,52.0,44.806463,-73.072549,VT,49.0,78.0,99.0,71.0,100.0,70.0,,,,,,,,,,,1.0,25093.0,30.0,30.0,225.0,13.0,65.0,391.0,125.0,385.0,0.0,21.0,67.0,66.0,38.0,13.0,91.0,78.0,90.0,51.0
3783,GRACE COTTAGE HOSPITAL (471300),2020,Critical Access,Voluntary non-profit - Private,19.0,,,VT,,,,,,,,,,,,,98.0,294.0,,,0.0,3072.0,,,230.0,12.0,98.0,78.0,127.0,225.0,,,,,,,,,,
3784,GIFFORD MEDICAL CENTER (471301),2020,Critical Access,Voluntary non-profit - Private,38.0,43.917547,-72.666255,VT,,,99.0,81.0,100.0,75.0,,,,,,,94.0,926.0,,,1.0,6916.0,,,,,,,,,0.0,15.0,,,,,,,,
3785,NORTHEASTERN VERMONT REGIONAL HOSPITAL (471303),2020,Critical Access,Voluntary non-profit - Private,25.0,44.445262,-72.009516,VT,,,,,,,,,,,,,100.0,873.0,,,,,,,,,,,344.0,221.0,,,,,,,,,,
3786,COPLEY HOSPITAL (471305),2020,Critical Access,Voluntary non-profit - Private,25.0,44.554186,-72.591214,VT,,,,,,,,,,,,,,,,,,,,,178.0,408.0,129.0,745.0,111.0,10744.0,,,,,,,,,,
3787,SPRINGFIELD HOSPITAL (471306),2020,Critical Access,Voluntary non-profit - Private,35.0,,,VT,,,,,,,,,,,,,90.0,444.0,,,,,,,,,,,,,,,,,,,,,,
3788,"PORTER HOSPITAL, INC (471307)",2020,Critical Access,Voluntary non-profit - Private,25.0,43.99947,-73.169803,VT,,,,,,,,,,,,,,,,,1.0,12589.0,,,197.0,19.0,,,136.0,389.0,,,,,,,,,,
3789,"ROY LESTER SCHNEIDER HOSPITAL,THE (480001)",2020,Acute Care,Government - Local,115.0,,,VI,24.0,66.0,,,,,,,,,,,34.0,687.0,,,,,,,,,204.0,856.0,,,28.0,94.0,100.0,27.0,0.0,11.0,74.0,66.0,49.0,43.0
3790,NORTON COMMUNITY HOSPITAL (490001),2020,Acute Care,Voluntary non-profit - Other,84.0,36.932031,-82.64338,VA,77.0,52.0,97.0,63.0,100.0,63.0,,,,,71.0,14.0,98.0,942.0,,,0.0,19110.0,92.0,11.0,320.0,28.0,54.0,284.0,146.0,1081.0,3.0,38.0,95.0,42.0,,,83.0,52.0,96.0,26.0
3791,RUSSELL COUNTY HOSPITAL (490002),2020,Acute Care,Voluntary non-profit - Private,63.0,36.899027,-82.078105,VA,81.0,75.0,23.0,22.0,79.0,29.0,,,,,,,96.0,337.0,,,0.0,13115.0,,,184.0,47.0,40.0,517.0,97.0,789.0,,,94.0,66.0,,,89.0,75.0,98.0,49.0
3792,SENTARA RMH MEDICAL CENTER (490004),2020,Acute Care,Voluntary non-profit - Private,238.0,38.40614,-78.858322,VA,27.0,125.0,99.0,99.0,99.0,99.0,100.0,31.0,,,54.0,26.0,90.0,2487.0,,,1.0,69841.0,,,191.0,21.0,82.0,830.0,160.0,417.0,1.0,152.0,64.0,58.0,,,71.0,125.0,52.0,65.0
3793,WINCHESTER MEDICAL CENTER (490005),2020,Acute Care,Voluntary non-profit - Private,461.0,39.1916,-78.193088,VA,37.0,122.0,97.0,116.0,94.0,251.0,76.0,21.0,,,23.0,26.0,93.0,4187.0,,,0.0,54767.0,,,218.0,18.0,152.0,623.0,211.0,358.0,3.0,38.0,63.0,78.0,31.0,13.0,72.0,122.0,84.0,57.0
3794,SENTARA NORFOLK GENERAL HOSPITAL (490007),2020,Acute Care,Voluntary non-profit - Other,527.0,36.859728,-76.30482,VA,16.0,194.0,95.0,136.0,89.0,208.0,98.0,48.0,,,,,88.0,5622.0,,,2.0,70245.0,,,378.0,265.0,202.0,1298.0,127.0,5049.0,0.0,224.0,65.0,51.0,,,48.0,194.0,24.0,54.0
3795,UNIVERSITY OF VIRGINIA MEDICAL CENTER (490009),2020,Acute Care,Government - State,600.0,38.031829,-78.498455,VA,50.0,100.0,99.0,72.0,100.0,70.0,76.0,100.0,,,,,98.0,11146.0,,,3.0,63123.0,,,304.0,26.0,234.0,467.0,226.0,345.0,0.0,146.0,89.0,56.0,,,65.0,100.0,81.0,42.0
3796,BON SECOURS DEPAUL MEDICAL CENTER (490011),2020,Acute Care,Voluntary non-profit - Private,133.0,36.89843,-76.281644,VA,56.0,242.0,91.0,56.0,95.0,59.0,,,,,,,,,,,1.0,38519.0,,,384.0,24.0,123.0,532.0,158.0,372.0,0.0,85.0,79.0,192.0,53.0,45.0,84.0,243.0,92.0,139.0
3797,SENTARA HALIFAX REGIONAL HOSPITAL (490013),2020,Acute Care,Voluntary non-profit - Private,143.0,36.713485,-78.913198,VA,28.0,282.0,95.0,81.0,87.0,92.0,,,,,64.0,14.0,89.0,668.0,,,0.0,25588.0,,,306.0,14.0,115.0,483.0,132.0,375.0,0.0,34.0,48.0,178.0,50.0,16.0,72.0,282.0,81.0,138.0
3798,BON SECOURS MARYVIEW MEDICAL CENTER (490017),2020,Acute Care,Voluntary non-profit - Private,341.0,36.836211,-76.348365,VA,49.0,219.0,88.0,57.0,88.0,51.0,82.0,17.0,,,72.0,25.0,,,,,1.0,69783.0,,,262.0,14.0,171.0,579.0,144.0,386.0,,,77.0,159.0,48.0,42.0,82.0,220.0,84.0,122.0
3799,AUGUSTA HEALTH (490018),2020,Acute Care,Voluntary non-profit - Private,244.0,38.092332,-78.988461,VA,61.0,187.0,95.0,63.0,97.0,74.0,100.0,15.0,,,76.0,33.0,88.0,3252.0,,,2.0,53268.0,,,282.0,31.0,65.0,839.0,165.0,465.0,0.0,30.0,87.0,141.0,71.0,31.0,76.0,187.0,98.0,92.0
