,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample)
3676,BROWNWOOD REGIONAL MEDICAL CENTER (450587),2019,Acute Care,Proprietary,102.0,31.680211,-98.988158,TX,59.0,244.0,100.0,46.0,100.0,64.0,,,,,25.0,12.0,93.0,791.0,,,88.0,274.0,,,2.0,23347.0,7.0,101.0,,,243.0,13.0,89.0,407.0,143.0,397.0,312.0,410.0,0.0,71.0
3677,LAKE GRANBURY MEDICAL CENTER (450596),2019,Acute Care,Proprietary,47.0,32.431845,-97.802729,TX,64.0,183.0,100.0,42.0,100.0,63.0,,,,,58.0,24.0,90.0,923.0,,,96.0,321.0,,,3.0,20997.0,8.0,25.0,,,161.0,15.0,74.0,476.0,127.0,394.0,239.0,477.0,0.0,28.0
3678,CUERO REGIONAL HOSPITAL (450597),2019,Acute Care,Government - Hospital District or Authority,47.0,29.112495,-97.281693,TX,85.0,98.0,100.0,32.0,,,,,,,,,78.0,520.0,,,98.0,258.0,,,2.0,9104.0,3.0,43.0,,,,,59.0,355.0,128.0,447.0,243.0,355.0,0.0,25.0
3679,HILL COUNTRY MEMORIAL HOSPITAL INC (450604),2019,Acute Care,Voluntary non-profit - Private,62.0,30.262187,-98.880491,TX,72.0,122.0,85.0,73.0,94.0,133.0,,,91.0,11.0,95.0,21.0,97.0,665.0,,,100.0,301.0,,,1.0,14401.0,6.0,97.0,,,199.0,13.0,50.0,226.0,120.0,568.0,193.0,229.0,0.0,60.0
3680,CARE REGIONAL MEDICAL CENTER (450605),2019,Acute Care,Proprietary,73.0,27.915921,-97.161829,TX,,,100.0,29.0,100.0,29.0,,,,,,,,,,,,,,,6.0,5306.0,,,,,,,,,,,,,,
3681,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER (450610),2019,Acute Care,Voluntary non-profit - Private,410.0,29.781023,-95.544422,TX,34.0,159.0,82.0,72.0,85.0,72.0,,,,,,,93.0,6486.0,0.0,24.0,93.0,527.0,,,1.0,71171.0,,,,,236.0,16.0,78.0,643.0,186.0,375.0,248.0,658.0,4.0,100.0
3682,HCA HOUSTON HEALTHCARE CLEAR LAKE (450617),2019,Acute Care,Proprietary,594.0,29.541062,-95.126274,TX,53.0,182.0,81.0,59.0,63.0,78.0,,,,,67.0,12.0,76.0,5120.0,0.0,53.0,100.0,745.0,,,1.0,95862.0,0.0,34.0,,,399.0,24.0,106.0,1227.0,123.0,533.0,253.0,1227.0,0.0,114.0
3683,MEDICAL CITY DENTON (450634),2019,Acute Care,Proprietary,195.0,33.176831,-97.094019,TX,72.0,134.0,,,,,,,,,100.0,11.0,94.0,1182.0,0.0,32.0,100.0,663.0,,,0.0,44689.0,,,,,185.0,17.0,89.0,1223.0,134.0,449.0,220.0,1232.0,,
3684,HCA HOUSTON HEALTHCARE NORTHWEST (450638),2019,Acute Care,Proprietary,333.0,30.018099,-95.439796,TX,59.0,170.0,100.0,206.0,100.0,158.0,,,,,,,95.0,2816.0,0.0,16.0,98.0,634.0,,,0.0,76820.0,,,,,292.0,33.0,141.0,877.0,153.0,553.0,241.0,877.0,1.0,125.0
3685,TEXAS HEALTH HEB (450639),2019,Acute Care,Voluntary non-profit - Private,251.0,32.833513,-97.125241,TX,56.0,133.0,85.0,13.0,82.0,34.0,,,,,,,91.0,1844.0,,,100.0,565.0,,,1.0,58003.0,,,,,247.0,13.0,110.0,846.0,144.0,421.0,253.0,846.0,0.0,45.0
3686,NOCONA GENERAL HOSPITAL (450641),2019,Acute Care,Government - Hospital District or Authority,26.0,33.777559,-97.731564,TX,53.0,101.0,66.0,29.0,69.0,16.0,,,,,,,56.0,107.0,,,83.0,152.0,,,1.0,2596.0,,,,,74.0,12.0,20.0,271.0,82.0,297.0,104.0,271.0,,
3687,DOCTORS HOSPITAL OF LAREDO (450643),2019,Acute Care,Proprietary,183.0,27.60709,-99.476281,TX,27.0,109.0,63.0,73.0,100.0,13.0,,,,,59.0,27.0,87.0,1093.0,,,94.0,471.0,,,0.0,48025.0,,,,,,,153.0,487.0,117.0,391.0,332.0,487.0,0.0,72.0
3688,HCA HOUSTON HEALTHCARE WEST (450644),2019,Acute Care,Proprietary,237.0,29.730314,-95.59475,TX,53.0,149.0,100.0,34.0,90.0,21.0,73.0,11.0,,,,,79.0,1631.0,0.0,16.0,100.0,607.0,,,1.0,49750.0,,,,,921.0,35.0,134.0,843.0,132.0,529.0,292.0,844.0,0.0,90.0
3689,MEDICAL CITY DALLAS (450647),2019,Acute Care,Proprietary,727.0,32.909447,-96.772089,TX,66.0,103.0,100.0,75.0,99.0,100.0,,,,,,,87.0,4301.0,0.0,39.0,99.0,633.0,,,1.0,82250.0,,,,,201.0,13.0,110.0,796.0,152.0,487.0,272.0,796.0,0.0,48.0
3690,MEDICAL CENTER OF PLANO (450651),2019,Acute Care,Proprietary,428.0,33.019387,-96.76573,TX,76.0,131.0,57.0,68.0,80.0,101.0,,,,,,,72.0,5651.0,0.0,66.0,100.0,690.0,,,0.0,52155.0,,,,,164.0,12.0,89.0,847.0,113.0,497.0,211.0,847.0,3.0,61.0
3691,SCENIC MOUNTAIN MEDICAL CENTER (450653),2019,Acute Care,Proprietary,84.0,32.240015,-101.492412,TX,55.0,161.0,90.0,31.0,100.0,39.0,,,62.0,16.0,,,80.0,379.0,,,96.0,282.0,,,4.0,16911.0,5.0,97.0,,,112.0,24.0,53.0,495.0,118.0,367.0,210.0,496.0,11.0,35.0
3692,STARR COUNTY MEMORIAL HOSPITAL (450654),2019,Acute Care,Government - Hospital District or Authority,48.0,26.37754,-98.859886,TX,52.0,116.0,96.0,112.0,100.0,94.0,,,,,,,68.0,300.0,,,86.0,388.0,,,8.0,10224.0,30.0,81.0,,,242.0,19.0,78.0,570.0,194.0,384.0,332.0,578.0,0.0,33.0
3693,NACOGDOCHES MEDICAL CENTER (450656),2019,Acute Care,Voluntary non-profit - Other,152.0,31.652058,-94.654265,TX,67.0,46.0,9.0,47.0,79.0,14.0,93.0,42.0,,,,,99.0,787.0,,,98.0,458.0,,,0.0,26289.0,,,,,,,92.0,659.0,116.0,372.0,214.0,667.0,0.0,35.0
3694,FREESTONE MEDICAL CENTER (450658),2019,Acute Care,Voluntary non-profit - Private,40.0,31.725644,-96.16961,TX,,,92.0,37.0,,,,,,,,,75.0,167.0,,,76.0,230.0,,,1.0,8314.0,4.0,82.0,,,,,46.0,447.0,98.0,362.0,202.0,448.0,,
3695,PARK PLAZA HOSPITAL (450659),2019,Acute Care,Proprietary,192.0,29.722375,-95.388045,TX,57.0,91.0,94.0,254.0,64.0,80.0,,,,,,,99.0,587.0,,,94.0,501.0,,,0.0,10044.0,,,,,,,75.0,625.0,120.0,503.0,215.0,625.0,,
3696,ODESSA REGIONAL MEDICAL CENTER (450661),2019,Acute Care,Proprietary,211.0,31.851458,-102.366027,TX,51.0,304.0,80.0,41.0,86.0,14.0,,,,,,,82.0,1457.0,,,83.0,588.0,,,3.0,26612.0,,,,,,,110.0,493.0,172.0,462.0,308.0,494.0,3.0,74.0
3697,VALLEY REGIONAL MEDICAL CENTER (450662),2019,Acute Care,Proprietary,207.0,,,TX,79.0,120.0,99.0,101.0,100.0,79.0,,,,,82.0,11.0,94.0,1151.0,0.0,12.0,100.0,530.0,,,1.0,37358.0,,,,,214.0,21.0,57.0,724.0,126.0,499.0,196.0,726.0,0.0,143.0
3698,SIERRA MEDICAL CENTER (450668),2019,Acute Care,Proprietary,294.0,31.77867,-106.47965,TX,38.0,97.0,76.0,99.0,78.0,116.0,,,,,,,82.0,1345.0,0.0,11.0,97.0,574.0,,,0.0,45813.0,11.0,11.0,,,200.0,24.0,103.0,848.0,102.0,418.0,221.0,848.0,0.0,31.0
3699,MEDICAL CENTER OF LEWISVILLE (450669),2019,Acute Care,Voluntary non-profit - Private,171.0,33.046306,-97.004207,TX,76.0,75.0,100.0,103.0,100.0,71.0,,,,,80.0,15.0,95.0,1049.0,,,100.0,561.0,,,0.0,43088.0,,,,,150.0,15.0,82.0,852.0,107.0,444.0,224.0,856.0,0.0,33.0
3700,HCA HOUSTON HEALTHCARE TOMBALL (450670),2019,Acute Care,Proprietary,298.0,30.088703,-95.623985,TX,42.0,91.0,28.0,25.0,64.0,116.0,,,,,,,68.0,1875.0,0.0,13.0,99.0,605.0,,,1.0,31288.0,,,,,381.0,17.0,198.0,922.0,138.0,585.0,329.0,922.0,0.0,31.0
3701,PLAZA MEDICAL CENTER OF FORT WORTH (450672),2019,Acute Care,Proprietary,220.0,32.735481,-97.343704,TX,70.0,111.0,32.0,100.0,94.0,82.0,,,,,,,79.0,2146.0,5.0,19.0,100.0,690.0,,,1.0,25395.0,,,,,,,135.0,778.0,114.0,465.0,275.0,778.0,,
3702,"WOMANS HOSPITAL OF TEXAS,THE (450674)",2019,Acute Care,Proprietary,250.0,29.692977,-95.40109,TX,33.0,15.0,,,,,,,,,,,93.0,1758.0,,,99.0,443.0,,,0.0,11539.0,14.0,20.0,,,,,11.0,393.0,143.0,481.0,85.0,393.0,0.0,120.0
3703,MEDICAL CITY ARLINGTON (450675),2019,Acute Care,Proprietary,301.0,32.691751,-97.1148,TX,54.0,93.0,,,,,,,,,,,94.0,2656.0,0.0,19.0,97.0,567.0,,,1.0,91766.0,,,,,,,109.0,967.0,112.0,511.0,274.0,968.0,1.0,116.0
3704,TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH (450677),2019,Acute Care,Voluntary non-profit - Church,225.0,32.585454,-97.319102,TX,65.0,149.0,72.0,175.0,90.0,81.0,,,,,41.0,17.0,87.0,2514.0,7.0,14.0,90.0,524.0,,,3.0,49008.0,,,,,263.0,27.0,182.0,782.0,140.0,394.0,326.0,786.0,0.0,140.0
3705,CITY HOSPITAL AT  WHITE ROCK (450678),2019,Acute Care,Proprietary,186.0,32.835521,-96.705001,TX,47.0,347.0,95.0,111.0,91.0,129.0,,,,,75.0,12.0,97.0,1202.0,,,97.0,531.0,,,1.0,37395.0,,,,,177.0,17.0,121.0,801.0,148.0,460.0,297.0,802.0,2.0,54.0
3706,MEMORIAL HERMANN NORTHEAST HOSPITAL (450684),2019,Acute Care,Government - Hospital District or Authority,251.0,29.994565,-95.275482,TX,43.0,150.0,96.0,25.0,53.0,17.0,,,,,48.0,21.0,94.0,2997.0,0.0,17.0,93.0,549.0,,,1.0,89518.0,4.0,29.0,,,,,81.0,956.0,184.0,385.0,295.0,963.0,5.0,41.0
3707,UNIVERSITY MEDICAL CENTER (450686),2019,Acute Care,Government - Hospital District or Authority,445.0,33.589429,-101.887977,TX,42.0,160.0,100.0,97.0,100.0,96.0,81.0,26.0,,,,,98.0,7516.0,0.0,48.0,95.0,506.0,,,8.0,74939.0,,,,,211.0,21.0,97.0,511.0,182.0,387.0,347.0,518.0,3.0,74.0
3708,DALLAS REGIONAL MEDICAL CENTER (450688),2019,Acute Care,Proprietary,189.0,32.777575,-96.59972,TX,87.0,107.0,100.0,23.0,78.0,27.0,,,,,93.0,41.0,99.0,837.0,,,87.0,556.0,,,4.0,41068.0,,,,,190.0,12.0,160.0,1086.0,138.0,440.0,342.0,1086.0,4.0,67.0
3709,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER (450690),2019,Acute Care,Government - State,124.0,32.42369,-95.209291,TX,83.0,42.0,100.0,350.0,99.0,189.0,89.0,54.0,,,,,97.0,1372.0,,,96.0,314.0,,,1.0,15759.0,3.0,54.0,,,240.0,23.0,36.0,465.0,118.0,354.0,214.0,467.0,,
3710,EL CAMPO MEMORIAL HOSPITAL (450694),2019,Acute Care,Voluntary non-profit - Private,26.0,29.219122,-96.289576,TX,43.0,44.0,100.0,47.0,86.0,14.0,,,,,,,53.0,342.0,,,87.0,298.0,,,3.0,9718.0,7.0,70.0,,,,,61.0,486.0,113.0,349.0,228.0,518.0,,
3711,SOUTHWEST GENERAL HOSPITAL (450697),2019,Acute Care,Proprietary,249.0,29.352988,-98.546589,TX,28.0,486.0,,,,,,,,,,,71.0,1069.0,8.0,24.0,87.0,554.0,,,2.0,34011.0,,,,,327.0,50.0,271.0,705.0,123.0,435.0,552.0,705.0,6.0,87.0
3712,LAMB HEALTHCARE CENTER (450698),2019,Acute Care,Government - Local,42.0,33.911625,-102.345439,TX,7.0,15.0,,,,,,,,,,,69.0,157.0,,,87.0,122.0,,,1.0,3333.0,11.0,26.0,,,,,15.0,91.0,76.0,256.0,119.0,95.0,3.0,37.0
3713,LONGVIEW REGIONAL MEDICAL CENTER (450702),2019,Acute Care,Proprietary,199.0,32.532201,-94.728814,TX,49.0,384.0,100.0,63.0,100.0,63.0,,,,,82.0,11.0,93.0,1348.0,,,97.0,555.0,,,2.0,36849.0,,,,,250.0,12.0,99.0,649.0,178.0,406.0,301.0,649.0,5.0,65.0
3714,HOUSTON METHODIST ST JOHN HOSPITAL (450709),2019,Acute Care,Voluntary non-profit - Private,157.0,29.549771,-95.085203,TX,59.0,98.0,92.0,40.0,100.0,208.0,,,,,,,99.0,1826.0,,,99.0,563.0,,,0.0,21580.0,,,,,328.0,14.0,123.0,869.0,177.0,379.0,298.0,869.0,0.0,101.0
3715,RIO GRANDE REGIONAL HOSPITAL (450711),2019,Acute Care,Proprietary,318.0,26.185939,-98.224124,TX,76.0,168.0,99.0,67.0,98.0,60.0,,,,,,,82.0,1990.0,,,100.0,748.0,,,1.0,76393.0,,,,,132.0,18.0,80.0,1059.0,111.0,548.0,204.0,1060.0,1.0,105.0
3716,ST DAVID'S SOUTH AUSTIN MEDICAL CENTER (450713),2019,Acute Care,Proprietary,279.0,30.227308,-97.773944,TX,66.0,170.0,98.0,85.0,96.0,49.0,,,,,79.0,14.0,93.0,1974.0,0.0,29.0,100.0,624.0,,,2.0,105037.0,5.0,77.0,,,268.0,27.0,147.0,996.0,129.0,505.0,281.0,997.0,4.0,57.0
3717,HCA HOUSTON HEALTHCARE CYPRESS FAIRBANKS (450716),2019,Acute Care,Proprietary,179.0,,,TX,38.0,100.0,94.0,142.0,81.0,119.0,,,,,,,73.0,1609.0,,,85.0,480.0,,,2.0,29331.0,,,,,248.0,16.0,118.0,577.0,138.0,546.0,282.0,591.0,2.0,112.0
3718,ROUND ROCK MEDICAL CENTER (450718),2019,Acute Care,Voluntary non-profit - Other,163.0,30.509336,-97.712361,TX,75.0,119.0,,,,,,,,,,,81.0,1643.0,,,99.0,578.0,,,0.0,40948.0,5.0,11.0,,,144.0,12.0,151.0,777.0,112.0,489.0,276.0,777.0,0.0,43.0
3719,METHODIST CHARLTON MEDICAL CENTER (450723),2019,Acute Care,Voluntary non-profit - Private,275.0,32.647444,-96.876265,TX,39.0,158.0,100.0,18.0,92.0,24.0,,,,,80.0,44.0,99.0,2366.0,5.0,21.0,93.0,572.0,,,3.0,74270.0,17.0,15.0,,,454.0,22.0,197.0,944.0,180.0,392.0,388.0,945.0,0.0,43.0
3720,BAYLOR SCOTT AND WHITE MEDICAL CENTER CARROLLTON (450730),2019,Acute Care,Proprietary,106.0,33.028966,-96.88395,TX,74.0,94.0,97.0,72.0,99.0,72.0,,,,,,,99.0,1258.0,0.0,11.0,99.0,523.0,,,1.0,34099.0,,,,,218.0,14.0,89.0,813.0,138.0,386.0,227.0,813.0,,
3721,BAYLOR SCOTT AND WHITE MEDICAL CENTER LAKE POINTE (450742),2019,Acute Care,Proprietary,129.0,32.918351,-96.509536,TX,57.0,284.0,98.0,121.0,94.0,135.0,,,,,77.0,22.0,99.0,1680.0,0.0,14.0,98.0,503.0,,,2.0,23393.0,,,,,,,139.0,570.0,120.0,474.0,307.0,571.0,5.0,42.0
3722,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON (450743),2019,Acute Care,Voluntary non-profit - Private,202.0,33.215899,-97.168409,TX,72.0,107.0,58.0,19.0,60.0,25.0,,,,,88.0,24.0,98.0,1846.0,,,100.0,570.0,,,3.0,49462.0,,,,,254.0,14.0,103.0,874.0,143.0,421.0,240.0,875.0,6.0,52.0
3723,KNOX COUNTY HOSPITAL (450746),2019,Acute Care,Government - Hospital District or Authority,28.0,,,TX,,,,,,,,,,,,,98.0,136.0,,,90.0,21.0,,,0.0,1332.0,,,,,,,15.0,22.0,106.0,192.0,114.0,26.0,,
3724,PALESTINE REGIONAL MEDICAL CENTER (450747),2019,Acute Care,Proprietary,147.0,31.733374,-95.625307,TX,71.0,95.0,100.0,100.0,100.0,101.0,,,67.0,21.0,72.0,29.0,70.0,782.0,,,98.0,354.0,,,4.0,31991.0,0.0,291.0,,,164.0,19.0,72.0,444.0,141.0,437.0,264.0,444.0,8.0,40.0
3725,COVENANT HOSPITAL LEVELLAND (450755),2019,Acute Care,Voluntary non-profit - Private,47.0,33.573273,-102.367755,TX,54.0,28.0,91.0,22.0,100.0,12.0,,,,,,,88.0,274.0,,,78.0,215.0,,,2.0,6360.0,7.0,59.0,,,216.0,21.0,122.0,204.0,102.0,346.0,177.0,205.0,2.0,40.0
3726,UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY (450766),2019,Acute Care,Government - State,145.0,,,TX,,,,,,,,,,,,,91.0,735.0,,,100.0,492.0,,,,,,,,,,,,,,,,,,
3727,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO (450771),2019,Acute Care,Voluntary non-profit - Private,365.0,33.045125,-96.837073,TX,56.0,122.0,86.0,37.0,88.0,56.0,,,,,69.0,16.0,88.0,2335.0,,,99.0,549.0,,,2.0,40823.0,,,,,320.0,17.0,130.0,594.0,196.0,420.0,296.0,594.0,7.0,98.0
3728,TOPS SURGICAL SPECIALTY HOSPITAL (450774),2019,Acute Care,Physician,16.0,30.018542,-95.444846,TX,,,98.0,247.0,100.0,120.0,,,,,,,93.0,246.0,,,96.0,301.0,,,0.0,326.0,,,,,,,,,114.0,186.0,,,,
3729,HCA HOUSTON HEALTHCARE KINGWOOD (450775),2019,Acute Care,Proprietary,420.0,,,TX,65.0,198.0,87.0,38.0,44.0,45.0,,,,,,,77.0,2645.0,0.0,28.0,99.0,736.0,,,1.0,84021.0,,,,,234.0,28.0,115.0,1132.0,107.0,573.0,254.0,1132.0,1.0,75.0
3730,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F (450779),2019,Acute Care,Voluntary non-profit - Private,232.0,32.658595,-97.419671,TX,50.0,110.0,,,,,,,,,,,98.0,2770.0,0.0,13.0,100.0,574.0,,,2.0,64506.0,2.0,51.0,46.0,14.0,197.0,11.0,100.0,703.0,160.0,417.0,257.0,703.0,11.0,65.0
3731,METHODIST AMBULATORY SURGERY HOSPITAL NW (450780),2019,Acute Care,Proprietary,23.0,29.527605,-98.595995,TX,,,,,,,,,,,,,69.0,553.0,,,100.0,227.0,,,0.0,732.0,,,,,,,,,51.0,267.0,,,,
3732,"CORPUS CHRISTI MEDICAL CENTER,THE (450788)",2019,Acute Care,Proprietary,419.0,27.681644,-97.359284,TX,63.0,120.0,90.0,29.0,100.0,65.0,,,,,88.0,17.0,60.0,2518.0,0.0,21.0,100.0,715.0,,,1.0,91036.0,10.0,12.0,,,210.0,18.0,105.0,673.0,140.0,596.0,308.0,673.0,1.0,120.0
3733,US PAIN & SPINE HOSPITAL (450797),2019,Acute Care,Proprietary,7.0,,,TX,,,,,,,,,,,,,56.0,144.0,,,0.0,118.0,,,0.0,68.0,,,,,,,,,172.0,23.0,,,,
3734,CHRISTUS ST MICHAEL HEALTH SYSTEM (450801),2019,Acute Care,Voluntary non-profit - Church,324.0,33.46249,-94.074448,TX,36.0,143.0,89.0,105.0,92.0,75.0,,,,,79.0,42.0,91.0,2861.0,0.0,23.0,83.0,550.0,,,3.0,69102.0,7.0,72.0,,,,,155.0,747.0,190.0,380.0,333.0,749.0,2.0,48.0
3735,UNITED MEMORIAL MEDICAL CENTER (450803),2019,Acute Care,Physician,119.0,29.847222,-95.407991,TX,0.0,24.0,,,,,,,,,,,72.0,281.0,,,72.0,279.0,,,9.0,8379.0,16.0,21.0,,,384.0,24.0,143.0,542.0,237.0,425.0,435.0,547.0,,
3736,TEXAS ORTHOPEDIC HOSPITAL (450804),2019,Acute Care,Voluntary non-profit - Other,49.0,29.700315,-95.409675,TX,,,,,,,,,,,,,70.0,702.0,,,100.0,515.0,,,,,,,,,,,,,106.0,262.0,,,,
3737,NORTHWEST HILLS SURGICAL HOSPITAL (450808),2019,Acute Care,Physician,8.0,30.350316,-97.751026,TX,,,91.0,379.0,89.0,82.0,,,,,,,46.0,186.0,,,51.0,268.0,,,2.0,40.0,,,,,,,,,,,,,,
3738,NORTH AUSTIN MEDICAL CENTER (450809),2019,Acute Care,Proprietary,370.0,30.412144,-97.708113,TX,86.0,138.0,86.0,21.0,100.0,41.0,,,,,,,94.0,2938.0,0.0,13.0,100.0,578.0,,,1.0,88738.0,4.0,24.0,,,288.0,20.0,98.0,668.0,142.0,524.0,238.0,668.0,0.0,124.0
3739,HOUSTON METHODIST SUGARLAND HOSPITAL (450820),2019,Acute Care,Voluntary non-profit - Private,283.0,29.590539,-95.631886,TX,75.0,125.0,76.0,72.0,93.0,72.0,88.0,16.0,,,94.0,31.0,80.0,3507.0,0.0,31.0,100.0,535.0,,,2.0,43897.0,,,,,,,100.0,712.0,187.0,379.0,321.0,712.0,0.0,76.0
3740,MEDICAL CITY LAS COLINAS (450822),2019,Acute Care,Proprietary,86.0,32.902047,-96.958679,TX,80.0,61.0,100.0,22.0,100.0,33.0,,,,,100.0,11.0,93.0,640.0,,,100.0,467.0,,,1.0,28513.0,,,,,253.0,11.0,76.0,703.0,128.0,439.0,223.0,713.0,0.0,61.0
3741,CORNERSTONE REGIONAL HOSPITAL (450825),2019,Acute Care,Proprietary,14.0,26.263096,-98.199164,TX,,,61.0,100.0,,,,,,,,,99.0,162.0,,,96.0,270.0,,,3.0,38.0,,,,,,,,,210.0,43.0,,,,
3742,KELL WEST REGIONAL HOSPITAL (450827),2019,Acute Care,Proprietary,41.0,33.872376,-98.579707,TX,72.0,18.0,,,,,,,,,,,81.0,374.0,,,94.0,560.0,,,4.0,8342.0,6.0,20.0,,,,,65.0,259.0,105.0,705.0,248.0,259.0,,
3743,CHRISTUS SPOHN HOSPITAL ALICE (450828),2019,Acute Care,Voluntary non-profit - Private,85.0,27.765508,-98.043713,TX,27.0,108.0,6.0,16.0,75.0,36.0,,,,,81.0,21.0,54.0,469.0,,,74.0,275.0,,,2.0,28331.0,15.0,204.0,,,284.0,16.0,173.0,531.0,160.0,364.0,389.0,531.0,0.0,14.0
3744,SURGERY SPECIALTY HOSPITALS OF AMERICA SE HOUSTON (450831),2019,Acute Care,Proprietary,38.0,29.658717,-95.178161,TX,,,,,,,,,,,,,43.0,159.0,,,92.0,37.0,,,5.0,141.0,,,,,,,,,86.0,82.0,,,,
3745,ENNIS REGIONAL MEDICAL CENTER (450833),2019,Acute Care,Proprietary,53.0,32.308542,-96.642024,TX,63.0,59.0,89.0,65.0,95.0,22.0,,,,,,,84.0,250.0,,,90.0,263.0,,,1.0,15086.0,3.0,87.0,,,,,63.0,517.0,84.0,398.0,221.0,517.0,,
3746,"PHYSICIANS CENTRE,THE (450834)",2019,Acute Care,Proprietary,16.0,30.649585,-96.296515,TX,,,,,,,,,,,,,92.0,243.0,,,94.0,145.0,100.0,625.0,4.0,189.0,,,,,,,,,85.0,161.0,,,,
3747,TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN (450840),2019,Acute Care,Government - Federal,58.0,33.115433,-96.671504,TX,72.0,102.0,94.0,32.0,89.0,28.0,,,,,,,86.0,1319.0,,,98.0,385.0,,,1.0,21884.0,,,,,209.0,13.0,140.0,492.0,148.0,418.0,275.0,492.0,0.0,24.0
3748,HOUSTON METHODIST WILLOWBROOK HOSPITAL (450844),2019,Acute Care,Voluntary non-profit - Church,297.0,29.964059,-95.550789,TX,58.0,137.0,68.0,66.0,93.0,67.0,92.0,13.0,,,92.0,26.0,88.0,3740.0,0.0,25.0,94.0,513.0,,,3.0,59460.0,,,,,,,79.0,810.0,165.0,383.0,303.0,811.0,2.0,56.0
3749,EL PASO SPECIALTY HOSPITAL (450845),2019,Acute Care,Proprietary,31.0,,,TX,,,,,,,,,,,,,96.0,271.0,,,97.0,240.0,,,0.0,1091.0,,,,,,,40.0,14.0,115.0,231.0,213.0,15.0,,
3750,MEMORIAL HERMANN KATY HOSPITAL (450847),2019,Acute Care,Voluntary non-profit - Private,180.0,29.785918,-95.785657,TX,45.0,144.0,60.0,25.0,100.0,18.0,,,,,84.0,25.0,95.0,3111.0,7.0,15.0,92.0,497.0,,,1.0,50474.0,6.0,22.0,,,,,82.0,772.0,174.0,372.0,272.0,779.0,6.0,65.0
