,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
3179,ETMC CARTHAGE (450210),2016,Acute Care,Voluntary non-profit - Private,43.0,32.167126,-94.346039,TX,,0.0,0.552,2670.0,,69.0,0.0,0.045,,0.0,0.057,2670.0,,,,,,
3180,MEMORIAL MEDICAL CENTER OF EAST TEXAS (450211),2016,Acute Care,Voluntary non-profit - Private,179.0,31.337324,-94.742481,TX,1.181,26.0,22.021,31900.0,0.0,3791.0,0.0,2.614,0.0,0.0,1.772,32014.0,,0.0,0.543,1.0,1.596,0.627
3181,UNIVERSITY HEALTH SYSTEM (450213),2016,Acute Care,Government - Hospital District or Authority,592.0,29.509488,-98.577062,TX,1.211,122.0,100.771,135286.0,0.802,42029.0,38.0,47.38,1.251,19.0,15.188,156817.0,1.647,5.0,3.035,16.0,9.207,1.738
3182,GULF COAST MEDICAL CENTER (450214),2016,Acute Care,Proprietary,69.0,,,TX,,0.0,0.472,1361.0,,256.0,0.0,0.185,,0.0,0.064,1361.0,,,,0.0,0.021,
3183,BAYLOR SCOTT & WHITE MEDICAL CENTER - LLANO (450219),2016,Acute Care,Voluntary non-profit - Private,25.0,30.743345,-98.677996,TX,,0.0,0.463,1736.0,,22.0,0.0,0.014,,0.0,0.033,1884.0,,,,0.0,0.101,
3184,MEMORIAL HOSPITAL (450221),2016,Acute Care,Government - Hospital District or Authority,53.0,,,TX,,0.0,0.501,3040.0,,40.0,0.0,0.027,,0.0,0.05,2834.0,,0.0,0.078,,,
3185,CONROE REGIONAL MEDICAL CENTER (450222),2016,Acute Care,Proprietary,297.0,30.284022,-95.468722,TX,0.863,48.0,55.599,73926.0,2.084,10037.0,21.0,10.075,1.636,12.0,7.334,77658.0,0.0,0.0,1.344,2.0,3.236,0.618
3186,HENDRICK MEDICAL CENTER (450229),2016,Acute Care,Voluntary non-profit - Private,405.0,32.471553,-99.73118,TX,0.581,66.0,113.686,83297.0,0.669,7361.0,4.0,5.981,0.971,6.0,6.182,86209.0,,0.0,0.527,2.0,3.091,0.647
3187,BAPTIST ST ANTHONY'S HOSPITAL (450231),2016,Acute Care,Proprietary,415.0,35.195115,-101.91885,TX,1.061,95.0,89.51,83113.0,1.681,9622.0,17.0,10.116,0.369,2.0,5.422,92412.0,1.937,3.0,1.549,19.0,7.939,2.393
3188,MEMORIAL HOSPITAL (450235),2016,Acute Care,Government - Hospital District or Authority,34.0,29.515895,-97.428868,TX,,0.0,0.417,2557.0,,86.0,0.0,0.057,,0.0,0.05,2876.0,,0.0,0.144,0.0,0.224,
3189,CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS (450236),2016,Acute Care,Government - Hospital District or Authority,83.0,33.15622,-95.599648,TX,0.258,1.0,3.877,10137.0,,942.0,1.0,0.655,,0.0,0.383,11435.0,,0.0,0.322,1.0,0.444,
3190,CHRISTUS SANTA ROSA HOSPITAL (450237),2016,Acute Care,Voluntary non-profit - Church,478.0,29.512909,-98.591557,TX,1.417,72.0,50.812,80751.0,0.927,9767.0,8.0,8.633,1.01,5.0,4.95,82612.0,0.0,0.0,1.043,10.0,5.611,1.782
3191,FAITH COMMUNITY HOSPITAL (450241),2016,Acute Care,Government - Hospital District or Authority,16.0,33.230386,-98.166732,TX,,0.0,0.144,754.0,,,,,,0.0,0.014,754.0,,,,,,
3192,HAMLIN MEMORIAL HOSPITAL (450243),2016,Acute Care,Government - Hospital District or Authority,25.0,,,TX,,0.0,0.113,627.0,,,,,,0.0,0.012,627.0,,,,,,
3193,BELLVILLE GENERAL HOSPITAL (450253),2016,Acute Care,Proprietary,28.0,29.952265,-96.260747,TX,,0.0,0.045,248.0,,11.0,0.0,0.008,,,,,,,,,,
3194,WISE REGIONAL HEALTH SYSTEM (450271),2016,Acute Care,Government - Hospital District or Authority,127.0,33.220263,-97.593107,TX,1.657,21.0,12.676,19030.0,0.639,6882.0,3.0,4.692,,2.0,0.801,19594.0,,0.0,0.219,3.0,1.846,1.625
3195,CENTRAL TEXAS MEDICAL CENTER (450272),2016,Acute Care,Voluntary non-profit - Private,161.0,29.852359,-97.947738,TX,1.414,10.0,7.072,14721.0,0.909,1584.0,1.0,1.1,,1.0,0.585,16265.0,,1.0,0.989,0.0,1.436,0.0
3196,BAYLOR SCOTT & WHITE MEDICAL CENTER GARLAND (450280),2016,Acute Care,Government - Federal,161.0,,,TX,0.785,24.0,30.584,40204.0,0.0,2825.0,0.0,2.507,1.333,3.0,2.25,40204.0,,0.0,0.248,0.0,1.463,0.0
3197,HARRIS HEALTH SYSTEM (450289),2016,Acute Care,Government - Hospital District or Authority,699.0,29.685422,-95.387094,TX,0.783,86.0,109.815,178325.0,0.952,27902.0,29.0,30.46,0.467,8.0,17.134,204115.0,2.076,9.0,4.336,16.0,12.027,1.33
3198,TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN (450292),2016,Acute Care,Voluntary non-profit - Private,61.0,32.591127,-96.317363,TX,0.28,1.0,3.575,7203.0,,1034.0,0.0,0.695,,0.0,0.257,7594.0,,0.0,0.065,0.0,0.62,
3199,FRIO REGIONAL HOSPITAL (450293),2016,Acute Care,Government - Hospital District or Authority,22.0,,,TX,,0.0,0.271,1658.0,,3.0,0.0,0.002,,0.0,0.036,1964.0,,,,,,
3200,COLLEGE STATION MEDICAL CENTER (450299),2016,Acute Care,Proprietary,141.0,30.582626,-96.291014,TX,0.888,5.0,5.631,16564.0,0.845,1408.0,1.0,1.184,,2.0,0.77,17070.0,,0.0,0.365,0.0,0.736,
3201,STAMFORD MEMORIAL HOSPITAL (450306),2016,Acute Care,Government - Hospital District or Authority,21.0,,,TX,,0.0,0.053,244.0,,,,,,0.0,0.003,125.0,,,,,,
3202,TEXOMA MEDICAL CENTER (450324),2016,Acute Care,Proprietary,331.0,33.711133,-96.586956,TX,1.348,31.0,22.998,48075.0,0.829,6521.0,4.0,4.826,1.786,5.0,2.8,50243.0,0.557,1.0,1.795,0.0,3.706,0.0
3203,OAKBEND MEDICAL CENTER (450330),2016,Acute Care,Government - Hospital District or Authority,205.0,29.577713,-95.771297,TX,1.736,12.0,6.912,18164.0,0.0,2873.0,0.0,1.947,,3.0,0.653,20028.0,,0.0,0.523,0.0,0.142,
3204,SAN ANGELO COMMUNITY MEDICAL CENTER (450340),2016,Acute Care,Proprietary,131.0,31.420076,-100.470132,TX,0.995,9.0,9.044,14952.0,,1306.0,0.0,0.926,,0.0,0.633,16097.0,0.0,0.0,1.011,0.0,0.859,
3205,BAPTIST BEAUMONT HOSPITAL (450346),2016,Acute Care,Voluntary non-profit - Private,392.0,30.068473,-94.120255,TX,0.267,11.0,41.132,64394.0,1.106,6420.0,6.0,5.426,0.862,3.0,3.479,68311.0,,2.0,0.509,13.0,5.034,2.582
3206,HUNTSVILLE MEMORIAL HOSPITAL (450347),2016,Acute Care,Voluntary non-profit - Private,96.0,30.69849,-95.55799,TX,1.239,15.0,12.102,17678.0,,1228.0,1.0,0.949,,1.0,0.566,19037.0,,0.0,0.117,0.0,0.931,
3207,FALLS COMMUNITY HOSPITAL AND CLINIC (450348),2016,Acute Care,Voluntary non-profit - Private,39.0,31.30747,-96.893901,TX,,0.0,0.326,1783.0,,,,,,0.0,0.032,1783.0,,,,,,
3208,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL (450351),2016,Acute Care,Voluntary non-profit - Private,51.0,32.223163,-98.204871,TX,0.367,1.0,2.725,5547.0,,168.0,0.0,0.114,,0.0,0.119,6000.0,,0.0,0.106,0.0,0.341,
3209,HUNT REGIONAL MEDICAL CENTER (450352),2016,Acute Care,Government - Hospital District or Authority,172.0,,,TX,0.905,9.0,9.941,20800.0,0.528,2501.0,1.0,1.895,0.929,1.0,1.076,22694.0,,0.0,0.55,0.0,1.008,0.0
3210,"METHODIST HOSPITAL,THE (450358)",2016,Acute Care,Voluntary non-profit - Private,1019.0,29.710567,-95.400118,TX,0.589,264.0,448.173,266840.0,1.356,50174.0,70.0,51.631,1.278,21.0,16.438,254693.0,2.565,7.0,2.729,19.0,10.899,1.743
3211,CHILDRESS REGIONAL MEDICAL CENTER (450369),2016,Acute Care,Government - Hospital District or Authority,38.0,,,TX,,0.0,0.254,1559.0,,,,,,0.0,0.028,1559.0,,,,,,
3212,COLUMBUS COMMUNITY HOSPITAL (450370),2016,Acute Care,Voluntary non-profit - Private,40.0,29.694287,-96.542483,TX,0.904,1.0,1.106,4501.0,,36.0,0.0,0.023,,0.0,0.099,4917.0,,0.0,0.135,1.0,0.378,
3213,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE (450372),2016,Acute Care,Voluntary non-profit - Private,88.0,32.429622,-96.859736,TX,0.832,14.0,16.818,23393.0,0.966,1418.0,1.0,1.035,0.0,0.0,1.053,24451.0,,0.0,0.214,4.0,2.07,1.932
3214,DALLAS MEDICAL CENTER (450379),2016,Acute Care,Proprietary,119.0,32.914335,-96.873098,TX,2.314,6.0,2.593,7180.0,0.647,2304.0,1.0,1.545,,0.0,0.272,7180.0,,1.0,0.523,0.0,0.411,
3215,METHODIST HOSPITAL (450388),2016,Acute Care,Proprietary,1621.0,29.50684,-98.572976,TX,1.067,294.0,275.454,390469.0,0.595,59436.0,30.0,50.403,0.795,20.0,25.154,420943.0,0.835,8.0,9.578,19.0,17.965,1.058
3216,EAST TEXAS MEDICAL CENTER ATHENS (450389),2016,Acute Care,Voluntary non-profit - Private,126.0,32.171435,-95.844022,TX,0.503,4.0,7.958,19579.0,,1312.0,0.0,0.883,,0.0,0.743,19579.0,,0.0,0.436,0.0,0.575,
3217,MEMORIAL MEDICAL CENTER LIVINGSTON (450395),2016,Acute Care,Voluntary non-profit - Private,61.0,30.35777,-95.085743,TX,0.0,0.0,14.878,19118.0,,375.0,0.0,0.256,,0.0,0.593,19988.0,,1.0,0.191,0.0,0.39,
3218,BROWNFIELD REGIONAL MEDICAL CENTER (450399),2016,Acute Care,Government - Hospital District or Authority,28.0,33.187102,-102.26775,TX,,0.0,0.0,21.0,,10.0,0.0,0.006,,0.0,0.0,18.0,,,,,,
3219,PARKVIEW REGIONAL HOSPITAL (450400),2016,Acute Care,Proprietary,56.0,31.675059,-96.480013,TX,,,,,,3.0,0.0,0.002,,,,,,,,0.0,0.092,
3220,MEDICAL CENTER OF MCKINNEY (450403),2016,Acute Care,Proprietary,231.0,33.159842,-96.635503,TX,1.289,40.0,31.039,45314.0,0.0,5890.0,0.0,4.415,0.0,0.0,2.196,48954.0,,0.0,0.675,0.0,1.152,0.0
3221,EASTLAND MEMORIAL HOSPITAL (450411),2016,Acute Care,Government - Hospital District or Authority,32.0,32.400439,-98.821636,TX,,1.0,0.547,3236.0,,,,,,0.0,0.078,3236.0,,0.0,0.124,0.0,0.348,
3222,TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE (450419),2016,Acute Care,Voluntary non-profit - Church,31.0,32.881196,-97.533769,TX,0.585,3.0,5.131,5151.0,,650.0,0.0,0.449,,0.0,0.121,5151.0,,,,0.0,0.383,
3223,BAYLOR MEDICAL CENTER AT UPTOWN (450422),2016,Acute Care,Voluntary non-profit - Private,24.0,32.80453,-96.794757,TX,,0.0,0.444,2830.0,,137.0,0.0,0.09,,0.0,0.032,2830.0,,,,,,
3224,HOUSTON METHODIST SAN JACINTO HOSPITAL (450424),2016,Acute Care,Voluntary non-profit - Private,247.0,29.76871,-94.977548,TX,0.6,40.0,66.669,74084.0,0.637,9268.0,4.0,6.28,0.696,3.0,4.308,77774.0,,0.0,0.612,3.0,1.63,1.84
3225,ST DAVID'S MEDICAL CENTER (450431),2016,Acute Care,Voluntary non-profit - Other,561.0,30.290447,-97.72587,TX,0.808,53.0,65.598,96857.0,0.816,17177.0,13.0,15.924,0.648,5.0,7.717,124695.0,,1.0,0.886,6.0,3.77,1.592
3226,NAVARRO REGIONAL HOSPITAL (450447),2016,Acute Care,Voluntary non-profit - Other,96.0,32.085083,-96.503582,TX,0.848,3.0,3.536,6827.0,,812.0,0.0,0.566,,0.0,0.26,6827.0,,0.0,0.148,0.0,0.346,
3227,GLEN ROSE MEDICAL CENTER (450451),2016,Acute Care,Government - Hospital District or Authority,16.0,32.24203,-97.7454,TX,,0.0,0.238,1246.0,,51.0,0.0,0.033,,0.0,0.026,1388.0,,,,,,
3228,TYLER COUNTY HOSPITAL (450460),2016,Acute Care,Government - Hospital District or Authority,25.0,30.775287,-94.42822,TX,,0.0,0.678,1763.0,,,,,,0.0,0.042,1763.0,,,,,,
3229,TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS (450462),2016,Acute Care,Voluntary non-profit - Private,628.0,32.883139,-96.763574,TX,1.285,84.0,65.391,92104.0,0.886,18410.0,18.0,20.306,0.377,3.0,7.956,110546.0,0.255,1.0,3.92,10.0,7.12,1.404
3230,MATAGORDA REGIONAL MEDICAL CENTER (450465),2016,Acute Care,Government - Hospital District or Authority,57.0,28.982805,-95.99129,TX,1.67,6.0,3.592,7342.0,,155.0,0.0,0.112,,0.0,0.188,7342.0,,0.0,0.102,0.0,0.294,
3231,WILSON N JONES REGIONAL MEDICAL CENTER (450469),2016,Acute Care,Proprietary,206.0,33.635636,-96.622851,TX,0.914,15.0,16.407,25998.0,0.845,3196.0,2.0,2.366,,3.0,0.932,27859.0,,1.0,0.238,0.0,2.134,0.0
3232,ETMC HENDERSON (450475),2016,Acute Care,Voluntary non-profit - Private,42.0,32.161614,-94.796433,TX,1.808,2.0,1.106,5265.0,,60.0,0.0,0.039,,0.0,0.132,6003.0,,0.0,0.352,,,
3233,WOODLAND HEIGHTS MEDICAL CENTER (450484),2016,Acute Care,Proprietary,135.0,31.327737,-94.756139,TX,0.261,2.0,7.676,17387.0,0.644,2214.0,1.0,1.552,,0.0,0.665,20731.0,,0.0,0.158,2.0,1.085,1.843
3234,ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE (450488),2016,Acute Care,Proprietary,61.0,,,TX,,,,,,,,,,0.0,0.0,6.0,,,,,,
3235,MEDICAL ARTS HOSPITAL (450489),2016,Acute Care,Government - Hospital District or Authority,22.0,32.750279,-101.96647,TX,,0.0,0.414,1954.0,,22.0,0.0,0.014,,0.0,0.041,1954.0,,0.0,0.012,,,
3236,STEPHENS MEMORIAL HOSPITAL (450498),2016,Acute Care,Government - Hospital District or Authority,30.0,32.754056,-98.887719,TX,,0.0,0.237,1303.0,,,,,,0.0,0.024,1303.0,,,,,,
3237,MEMORIAL HOSPITAL (450508),2016,Acute Care,Government - Hospital District or Authority,137.0,31.613397,-94.649455,TX,0.719,8.0,11.121,19810.0,1.323,2119.0,2.0,1.512,,2.0,0.928,21406.0,,0.0,0.304,0.0,1.224,0.0
3238,THE MEDICAL CENTER OF SOUTHEAST TEXAS (450518),2016,Acute Care,Proprietary,218.0,29.934952,-93.985007,TX,0.66,14.0,21.228,32355.0,3.231,2601.0,6.0,1.857,0.661,1.0,1.514,35571.0,,2.0,0.8,2.0,1.115,1.794
3239,METHODIST RICHARDSON MEDICAL CENTER (450537),2016,Acute Care,Government - Hospital District or Authority,208.0,32.996143,-96.669176,TX,0.77,25.0,32.488,50804.0,1.128,8127.0,7.0,6.208,0.467,1.0,2.143,56927.0,,0.0,0.737,0.0,1.493,0.0
3240,COVENANT HOSPITAL PLAINVIEW (450539),2016,Acute Care,Voluntary non-profit - Private,49.0,34.207214,-101.731626,TX,0.285,1.0,3.514,6758.0,,108.0,0.0,0.09,,0.0,0.204,6758.0,,0.0,0.182,0.0,0.397,
3241,ABILENE REGIONAL MEDICAL CENTER (450558),2016,Acute Care,Proprietary,202.0,32.374006,-99.742595,TX,0.63,9.0,14.294,22162.0,0.0,3737.0,0.0,2.751,1.599,2.0,1.251,28867.0,,0.0,0.556,1.0,0.843,
3242,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE (450563),2016,Acute Care,Voluntary non-profit - Private,297.0,32.9356,-97.093897,TX,0.894,38.0,42.514,56573.0,1.213,4745.0,5.0,4.122,0.333,1.0,3.007,64954.0,0.0,0.0,1.308,7.0,5.062,1.383
3243,PALO PINTO GENERAL HOSPITAL (450565),2016,Acute Care,Government - Hospital District or Authority,47.0,32.799552,-98.145406,TX,,1.0,0.468,483.0,,238.0,0.0,0.157,,0.0,0.016,522.0,,0.0,0.048,0.0,0.161,
3244,SHANNON MEDICAL CENTER (450571),2016,Acute Care,Voluntary non-profit - Private,341.0,31.464485,-100.43509,TX,0.639,21.0,32.85,50092.0,1.18,6197.0,5.0,4.237,0.532,1.0,1.881,53127.0,,1.0,0.613,6.0,3.399,1.765
3245,CHRISTUS JASPER MEMORIAL HOSPITAL (450573),2016,Acute Care,Government - Local,43.0,30.907639,-94.008533,TX,0.0,0.0,4.059,7611.0,,112.0,0.0,0.075,,0.0,0.158,8196.0,,,,,,
3246,HEMPHILL COUNTY HOSPITAL (450578),2016,Acute Care,Government - Hospital District or Authority,15.0,35.903792,-100.387399,TX,,0.0,0.046,257.0,,,,,,0.0,0.008,424.0,,,,,,
3247,HOUSTON COUNTY MEDICAL CENTER (450580),2016,Acute Care,Government - Hospital District or Authority,42.0,,,TX,,1.0,0.708,2152.0,,86.0,0.0,0.071,,0.0,0.051,2462.0,,,,1.0,0.237,
3248,WILBARGER GENERAL HOSPITAL (450584),2016,Acute Care,Government - Hospital District or Authority,38.0,34.159419,-99.31333,TX,,1.0,0.557,3408.0,,404.0,0.0,0.264,,0.0,0.066,3408.0,,,,0.0,0.262,
3249,SEYMOUR HOSPITAL (450586),2016,Acute Care,Government - Hospital District or Authority,27.0,33.589788,-99.247697,TX,,1.0,0.0,154.0,,,,,,0.0,0.0,1.0,,0.0,0.066,,,
3250,BROWNWOOD REGIONAL MEDICAL CENTER (450587),2016,Acute Care,Proprietary,102.0,31.680211,-98.988158,TX,0.367,2.0,5.443,12650.0,,792.0,0.0,0.545,,0.0,0.454,12650.0,,0.0,0.169,1.0,0.839,
3251,LAKE GRANBURY MEDICAL CENTER (450596),2016,Acute Care,Proprietary,47.0,32.431845,-97.802729,TX,0.338,1.0,2.962,9171.0,,1339.0,2.0,0.909,,1.0,0.397,9171.0,,0.0,0.078,0.0,0.502,
3252,CUERO COMMUNITY HOSPITAL (450597),2016,Acute Care,Government - Hospital District or Authority,47.0,29.112495,-97.281693,TX,4.241,5.0,1.179,4413.0,,246.0,1.0,0.16,,0.0,0.119,4624.0,,0.0,0.064,0.0,0.185,
3253,HILL COUNTRY MEMORIAL HOSPITAL INC (450604),2016,Acute Care,Voluntary non-profit - Private,62.0,30.262187,-98.880491,TX,0.536,2.0,3.732,8203.0,,422.0,0.0,0.289,,0.0,0.29,8992.0,,0.0,0.05,0.0,1.84,0.0
3254,CARE REGIONAL MEDICAL CENTER (450605),2016,Acute Care,Proprietary,73.0,27.915921,-97.161829,TX,0.0,0.0,1.418,4324.0,,144.0,0.0,0.098,,0.0,0.102,4324.0,,,,0.0,0.455,
3255,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER (450610),2016,Acute Care,Voluntary non-profit - Private,410.0,29.781023,-95.544422,TX,0.644,39.0,60.536,98049.0,0.93,11494.0,10.0,10.758,0.918,5.0,5.449,130015.0,1.876,2.0,1.066,4.0,7.65,0.523
3256,CLEAR LAKE REGIONAL MEDICAL CENTER (450617),2016,Acute Care,Proprietary,594.0,29.541062,-95.126274,TX,1.279,123.0,96.168,138258.0,1.09,19386.0,20.0,18.346,0.432,4.0,9.266,151279.0,0.675,2.0,2.962,3.0,5.448,0.551
3257,DIMMIT REGIONAL HOSPITAL (450620),2016,Acute Care,Voluntary non-profit - Private,34.0,,,TX,,0.0,0.559,2300.0,,,,,,0.0,0.041,2300.0,,0.0,0.111,,,
3258,DENTON REGIONAL MEDICAL CENTER (450634),2016,Acute Care,Proprietary,195.0,33.176831,-97.094019,TX,0.816,19.0,23.272,46327.0,0.759,7557.0,4.0,5.27,0.844,2.0,2.371,46996.0,,0.0,0.33,1.0,2.364,0.423
3259,HOUSTON NORTHWEST MEDICAL CENTER (450638),2016,Acute Care,Proprietary,333.0,30.018099,-95.439796,TX,0.891,27.0,30.312,64248.0,0.194,13123.0,2.0,10.305,0.735,3.0,4.084,78566.0,0.887,1.0,1.128,4.0,5.071,0.789
3260,TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD (450639),2016,Acute Care,Voluntary non-profit - Private,251.0,32.833513,-97.125241,TX,0.95,42.0,44.204,54063.0,0.481,5069.0,2.0,4.154,0.463,1.0,2.161,56626.0,3.185,7.0,2.198,4.0,3.725,1.074
3261,NOCONA GENERAL HOSPITAL (450641),2016,Acute Care,Government - Hospital District or Authority,26.0,33.777559,-97.731564,TX,,0.0,0.426,2612.0,,2.0,0.0,0.001,,0.0,0.055,2612.0,,,,,,
3262,DOCTORS HOSPITAL OF LAREDO (450643),2016,Acute Care,Proprietary,183.0,27.60709,-99.476281,TX,0.905,13.0,14.364,34213.0,1.142,7804.0,7.0,6.132,1.453,3.0,2.064,41143.0,,0.0,0.377,1.0,1.687,0.593
3263,WEST HOUSTON MEDICAL CENTER (450644),2016,Acute Care,Proprietary,237.0,29.730314,-95.59475,TX,1.199,54.0,45.043,64169.0,1.931,6752.0,10.0,5.18,0.978,5.0,5.113,72955.0,,0.0,0.997,2.0,1.266,1.58
3264,MEDICAL CITY DALLAS HOSPITAL (450647),2016,Acute Care,Proprietary,727.0,32.909447,-96.772089,TX,1.36,139.0,102.188,133236.0,0.744,29630.0,22.0,29.552,0.89,10.0,11.231,157382.0,0.715,5.0,6.996,3.0,6.369,0.471
3265,MEDICAL CENTER OF PLANO (450651),2016,Acute Care,Proprietary,428.0,33.019387,-96.76573,TX,1.143,89.0,77.892,93515.0,1.221,12780.0,19.0,15.562,0.125,1.0,7.974,107069.0,0.697,1.0,1.435,4.0,7.231,0.553
3266,SCENIC MOUNTAIN MEDICAL CENTER (450653),2016,Acute Care,Proprietary,84.0,32.240015,-101.492412,TX,1.447,4.0,2.765,10464.0,,173.0,0.0,0.115,,1.0,0.341,10435.0,,0.0,0.095,0.0,0.326,
3267,STARR COUNTY MEMORIAL HOSPITAL (450654),2016,Acute Care,Government - Hospital District or Authority,48.0,26.37754,-98.859886,TX,0.319,1.0,3.135,4319.0,,,,,,0.0,0.085,4319.0,,,,,,
3268,NACOGDOCHES MEDICAL CENTER (450656),2016,Acute Care,Voluntary non-profit - Other,152.0,31.652058,-94.654265,TX,0.851,5.0,5.878,12642.0,0.56,2643.0,1.0,1.787,,0.0,0.477,12642.0,,0.0,0.277,0.0,1.436,0.0
3269,EAST TEXAS MEDICAL CENTER - FAIRFIELD (450658),2016,Acute Care,Voluntary non-profit - Private,40.0,31.725644,-96.16961,TX,,0.0,0.405,1521.0,,3.0,0.0,0.002,,0.0,0.031,1521.0,,,,,,
3270,PARK PLAZA HOSPITAL (450659),2016,Acute Care,Proprietary,192.0,29.722375,-95.388045,TX,1.067,10.0,9.371,22613.0,1.142,7810.0,6.0,5.255,,0.0,0.744,22613.0,,0.0,0.687,0.0,0.535,
3271,ODESSA REGIONAL MEDICAL CENTER (450661),2016,Acute Care,Proprietary,211.0,31.851458,-102.366027,TX,0.529,4.0,7.557,19370.0,0.983,5928.0,7.0,7.119,0.0,0.0,1.002,30848.0,,0.0,0.687,1.0,1.172,0.853
3272,VALLEY REGIONAL MEDICAL CENTER (450662),2016,Acute Care,Proprietary,207.0,,,TX,1.616,46.0,28.469,52408.0,1.788,13353.0,17.0,9.508,2.089,7.0,3.351,57433.0,0.0,0.0,1.264,4.0,1.999,2.001
3273,SIERRA MEDICAL CENTER (450668),2016,Acute Care,Proprietary,294.0,31.77867,-106.47965,TX,0.781,17.0,21.772,46350.0,0.494,5707.0,2.0,4.051,1.165,3.0,2.576,47417.0,,0.0,0.65,0.0,1.609,0.0
3274,MEDICAL CENTER OF LEWISVILLE (450669),2016,Acute Care,Voluntary non-profit - Private,171.0,33.046306,-97.004207,TX,1.767,30.0,16.981,21440.0,0.663,3277.0,2.0,3.016,0.0,0.0,1.063,28829.0,,0.0,0.67,1.0,0.681,
3275,TOMBALL REGIONAL MEDICAL CENTER (450670),2016,Acute Care,Proprietary,298.0,30.088703,-95.623985,TX,0.93,31.0,33.341,42978.0,0.869,5668.0,4.0,4.601,1.164,2.0,1.718,41901.0,,1.0,0.249,0.0,2.721,0.0
3276,PLAZA MEDICAL CENTER OF FORT WORTH (450672),2016,Acute Care,Proprietary,220.0,32.735481,-97.343704,TX,1.131,37.0,32.715,51747.0,1.206,10185.0,12.0,9.951,1.146,5.0,4.362,51747.0,,0.0,0.156,7.0,2.805,2.496
3277,"WOMANS HOSPITAL OF TEXAS,THE (450674)",2016,Acute Care,Proprietary,250.0,29.692977,-95.40109,TX,0.23,4.0,17.395,43456.0,0.992,9094.0,14.0,14.116,0.0,0.0,2.4,102585.0,0.091,1.0,10.964,0.0,2.315,0.0
3278,MEDICAL CENTER OF ARLINGTON (450675),2016,Acute Care,Proprietary,301.0,32.691751,-97.1148,TX,0.659,31.0,47.027,67682.0,0.908,9663.0,8.0,8.806,1.268,5.0,3.944,74116.0,0.949,1.0,1.054,2.0,2.022,0.989
3279,TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH (450677),2016,Acute Care,Voluntary non-profit - Church,225.0,32.585454,-97.319102,TX,0.512,16.0,31.257,43478.0,0.526,5228.0,2.0,3.8,0.0,0.0,2.122,45502.0,,0.0,0.638,0.0,2.494,0.0
3280,BAYLOR SCOTT AND WHITE MEDICAL CENTER WHITE ROCK (450678),2016,Acute Care,Proprietary,186.0,32.835521,-96.705001,TX,0.359,5.0,13.936,30093.0,1.29,4502.0,4.0,3.1,0.0,0.0,1.261,30981.0,,0.0,0.255,0.0,0.642,
3281,MEMORIAL HERMANN NORTHEAST (450684),2016,Acute Care,Government - Hospital District or Authority,251.0,29.994565,-95.275482,TX,0.732,28.0,38.275,61673.0,0.62,9289.0,4.0,6.451,2.129,7.0,3.288,76864.0,,0.0,0.328,4.0,3.006,1.331
3282,UNIVERSITY MEDICAL CENTER (450686),2016,Acute Care,Government - Hospital District or Authority,445.0,33.589429,-101.887977,TX,1.437,154.0,107.165,118722.0,1.279,19655.0,32.0,25.023,1.239,13.0,10.491,165048.0,,0.0,0.914,1.0,5.345,0.187
3283,DALLAS REGIONAL MEDICAL CENTER (450688),2016,Acute Care,Proprietary,189.0,32.777575,-96.59972,TX,1.359,12.0,8.827,20025.0,0.97,1432.0,1.0,1.031,,0.0,0.671,20025.0,,1.0,0.065,0.0,0.84,
3284,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER (450690),2016,Acute Care,Government - State,124.0,32.42369,-95.209291,TX,0.806,4.0,4.96,12041.0,0.0,1885.0,0.0,1.548,,0.0,0.457,12041.0,,0.0,0.068,0.0,0.967,
3285,EL CAMPO MEMORIAL HOSPITAL (450694),2016,Acute Care,Voluntary non-profit - Private,26.0,29.219122,-96.289576,TX,,6.0,0.883,3152.0,,201.0,0.0,0.132,,0.0,0.062,3152.0,,,,0.0,0.075,
3286,SOUTHWEST GENERAL HOSPITAL (450697),2016,Acute Care,Proprietary,249.0,29.352988,-98.546589,TX,1.203,20.0,16.625,29487.0,1.06,4977.0,4.0,3.775,0.0,0.0,2.314,37094.0,,1.0,0.096,1.0,1.236,0.809
