,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
3751,AMERICAN FORK HOSPITAL (460023),2022,Acute Care,Voluntary non-profit - Private,87.0,40.380506,-111.769094,UT,79.0,19.3,488.0,13.7,,,42.0,4.4,,,,,,,,,,,79.0,-43.1,72.0,11.0,134.0,-23.5,128.0,24.0,,490.0,16.0,176.0,1.1
3752,SEVIER VALLEY HOSPITAL (460026),2022,Acute Care,Voluntary non-profit - Private,24.0,38.783275,-112.084663,UT,,,196.0,14.1,,,46.0,4.0,,,,,,,,,,,,,,,37.0,-0.2,35.0,8.0,,412.0,14.4,70.0,0.9
3753,VA SALT LAKE CITY HEALTHCARE - GEORGE E. WAHLEN VA MEDICAL CENTER (46002F),2022,Acute Care (VA),Government - Federal,,,,,509.0,21.1,1908.0,14.8,126.0,19.5,135.0,4.6,96.0,15.0,,,,,96.0,-14.4,91.0,28.0,509.0,9.8,408.0,147.0,180.0,-22.7,159.0,44.0,,,,,
3754,ASHLEY REGIONAL MEDICAL CENTER (460030),2022,Acute Care,Proprietary,38.0,40.45779,-109.530464,UT,34.0,20.4,209.0,13.8,26.0,19.1,39.0,4.0,,,,,,,,,,,34.0,-24.5,30.0,5.0,84.0,-2.4,73.0,21.0,,73.0,15.4,41.0,1.1
3755,BEAR RIVER VALLEY HOSPITAL (460039),2022,Acute Care,Voluntary non-profit - Private,16.0,41.723768,-112.181979,UT,,,27.0,14.8,,,,,,,,,,,,,,,,,,,,,,,,128.0,16.2,,
3756,DAVIS HOSPITAL AND MEDICAL CENTER (460041),2022,Acute Care,Proprietary,204.0,41.089242,-111.995471,UT,119.0,19.8,728.0,13.7,29.0,19.0,105.0,3.7,65.0,14.8,,,,,65.0,-13.5,65.0,12.0,119.0,-15.3,109.0,25.0,173.0,-9.6,160.0,32.0,,775.0,16.1,200.0,1.0
3757,LAKEVIEW HOSPITAL (460042),2022,Acute Care,Proprietary,98.0,40.886855,-111.868618,UT,74.0,21.0,559.0,14.5,,,172.0,3.8,39.0,14.1,,,,,39.0,-24.1,38.0,9.0,74.0,-11.7,71.0,16.0,81.0,-26.5,78.0,14.0,,,,62.0,1.1
3758,ALTA VIEW HOSPITAL (460044),2022,Acute Care,Voluntary non-profit - Private,64.0,40.57736,-111.853191,UT,49.0,19.9,319.0,13.6,,,85.0,4.4,,,,,,,,,,,49.0,-49.4,45.0,8.0,49.0,-4.4,48.0,8.0,,635.0,15.6,115.0,1.0
3759,ST MARK'S HOSPITAL (460047),2022,Acute Care,Voluntary non-profit - Other,275.0,40.687062,-111.857446,UT,230.0,19.4,2052.0,13.6,55.0,20.8,389.0,4.5,162.0,14.5,75.0,12.1,,,162.0,-0.2,158.0,41.0,230.0,-32.1,204.0,48.0,294.0,-13.2,270.0,72.0,,41.0,16.7,175.0,0.9
3760,THE ORTHOPEDIC SPECIALTY HOSPITAL (460049),2022,Acute Care,Voluntary non-profit - Private,38.0,,,UT,,,158.0,13.3,,,224.0,3.3,,,,,,,,,,,,,,,,,,,,,,174.0,0.9
3761,JORDAN VALLEY MEDICAL CENTER (460051),2022,Acute Care,Voluntary non-profit - Other,294.0,40.587958,-111.975285,UT,138.0,20.4,877.0,14.1,30.0,20.5,158.0,4.4,77.0,14.4,,,,,77.0,-15.3,75.0,18.0,138.0,-15.6,118.0,36.0,179.0,-35.6,169.0,33.0,,504.0,19.3,135.0,0.9
3762,TIMPANOGOS REGIONAL HOSPITAL (460052),2022,Acute Care,Proprietary,117.0,40.312173,-111.71499,UT,45.0,20.8,369.0,14.6,,,128.0,4.5,,,,,,,,,,,45.0,-20.9,41.0,14.0,60.0,1.5,54.0,18.0,,127.0,15.5,88.0,0.9
3763,CACHE VALLEY HOSPITAL (460054),2022,Acute Care,Proprietary,25.0,41.775714,-111.823092,UT,,,79.0,15.3,,,57.0,4.4,,,,,,,,,,,,,,,,,,,,,,,
3764,PARK CITY HOSPITAL (460057),2022,Acute Care,Proprietary,34.0,40.687697,-111.468952,UT,,,193.0,14.4,,,160.0,3.4,,,,,,,,,,,,,,,45.0,-7.7,43.0,9.0,,268.0,15.3,114.0,0.8
3765,RIVERTON HOSPITAL (460058),2022,Acute Care,Voluntary non-profit - Private,88.0,40.522238,-111.979725,UT,41.0,21.4,332.0,13.8,,,45.0,3.8,,,,,,,,,,,41.0,2.0,37.0,11.0,62.0,-28.3,61.0,8.0,,636.0,15.7,42.0,0.9
3766,LONE PEAK HOSPITAL (460060),2022,Acute Care,Proprietary,33.0,40.535238,-111.891464,UT,29.0,21.2,212.0,14.6,,,49.0,4.4,,,,,,,,,,,29.0,-6.3,25.0,6.0,33.0,-11.9,32.0,10.0,,35.0,15.6,60.0,1.1
3767,LAYTON HOSPITAL (460061),2022,Acute Care,Voluntary non-profit - Private,36.0,41.054447,-111.96761,UT,30.0,21.0,294.0,14.3,,,,,,,,,,,,,,,30.0,29.1,29.0,5.0,42.0,-20.1,39.0,14.0,,285.0,15.5,,
3768,DELTA COMMUNITY HOSPITAL (461300),2022,Critical Access,Voluntary non-profit - Private,18.0,39.350294,-112.560023,UT,,,42.0,14.6,,,,,,,,,,,,,,,,,,,,,,,,114.0,15.1,,
3769,FILLMORE COMMUNITY HOSPITAL (461301),2022,Critical Access,Voluntary non-profit - Private,16.0,38.954161,-112.339455,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,15.7,,
3770,SANPETE VALLEY HOSPITAL - CAH (461303),2022,Critical Access,Voluntary non-profit - Private,18.0,39.531803,-111.461194,UT,,,58.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,208.0,15.6,,
3771,CENTRAL VALLEY MEDICAL CENTER - CAH (461304),2022,Critical Access,Voluntary non-profit - Private,25.0,39.730587,-111.837215,UT,,,228.0,15.2,,,126.0,4.1,,,,,,,,,,,,,,,89.0,-15.0,77.0,20.0,,137.0,15.0,39.0,1.1
3772,HEBER VALLEY HOSPITAL (461307),2022,Critical Access,Voluntary non-profit - Private,19.0,40.489047,-111.409218,UT,,,91.0,14.5,,,27.0,3.9,,,,,,,,,,,,,,,,,,,,117.0,15.8,,
3773,SAN JUAN HOSPITAL (461308),2022,Critical Access,Government - Local,22.0,37.873875,-109.350062,UT,,,75.0,14.5,,,48.0,3.7,,,,,,,,,,,,,,,,,,,,,,,
3774,GARFIELD MEMORIAL HOSPITAL (461333),2022,Critical Access,Voluntary non-profit - Other,36.0,37.828772,-112.435476,UT,,,61.0,14.1,,,,,,,,,,,,,,,,,,,28.0,-26.7,27.0,5.0,,,,,
3775,BEAVER VALLEY HOSPITAL (461335),2022,Critical Access,Government - Local,25.0,38.289258,-112.643204,UT,,,45.0,14.6,,,,,,,,,,,,,,,,,,,33.0,28.7,30.0,6.0,,36.0,15.7,,
3776,CENTRAL VERMONT MEDICAL CENTER (470001),2022,Acute Care,Voluntary non-profit - Private,79.0,,,VT,288.0,23.2,1269.0,17.2,123.0,19.3,150.0,4.8,45.0,15.5,,,104.0,5.2,45.0,-0.9,44.0,14.0,288.0,23.6,243.0,87.0,240.0,-1.2,221.0,69.0,7.3,1524.0,12.9,238.0,0.9
3777,UNIV. OF VERMONT - FLETCHER ALLEN HEALTH CARE (470003),2022,Acute Care,Voluntary non-profit - Other,456.0,44.480991,-73.195518,VT,735.0,20.5,5043.0,14.9,219.0,18.8,399.0,3.8,730.0,13.4,212.0,10.2,513.0,5.2,730.0,-16.8,697.0,159.0,735.0,-12.4,625.0,192.0,316.0,-12.3,288.0,69.0,7.2,2540.0,14.8,863.0,0.8
3778,RUTLAND REGIONAL MEDICAL CENTER (470005),2022,Acute Care,Voluntary non-profit - Other,124.0,43.599188,-72.956195,VT,248.0,21.6,1700.0,14.8,168.0,20.5,331.0,4.3,,,,,128.0,3.1,,,,,248.0,-7.0,212.0,62.0,314.0,-2.8,269.0,72.0,7.4,1372.0,15.7,336.0,1.0
3779,BRATTLEBORO MEMORIAL HOSPITAL (470011),2022,Acute Care,Voluntary non-profit - Private,47.0,42.84207,-72.564643,VT,108.0,24.7,471.0,15.1,68.0,18.7,163.0,4.0,,,,,50.0,4.4,,,,,108.0,27.6,97.0,42.0,102.0,6.5,89.0,27.0,8.1,748.0,15.0,87.0,1.0
3780,SOUTHWESTERN VERMONT MEDICAL CENTER (470012),2022,Acute Care,Voluntary non-profit - Private,76.0,42.873911,-73.204343,VT,232.0,23.1,1004.0,14.5,146.0,20.9,96.0,4.1,,,,,96.0,4.0,,,,,232.0,12.6,198.0,77.0,356.0,-28.1,310.0,90.0,8.6,1329.0,12.3,202.0,1.0
3781,WHITE RIVER JCT VA MEDICAL CENTER (47001F),2022,Acute Care (VA),Government - Federal,,,,,163.0,22.8,1048.0,17.8,80.0,20.3,109.0,4.5,,,,,,,,,,,163.0,68.4,138.0,46.0,129.0,-3.6,122.0,29.0,,,,,
3782,NORTHWESTERN MEDICAL CENTER INC (470024),2022,Acute Care,Voluntary non-profit - Other,52.0,44.806463,-73.072549,VT,156.0,23.0,686.0,14.6,110.0,20.0,59.0,3.8,,,,,,,,,,,156.0,-9.7,128.0,59.0,195.0,8.8,175.0,55.0,,1018.0,17.6,121.0,1.4
3783,GRACE COTTAGE HOSPITAL (471300),2022,Critical Access,Voluntary non-profit - Private,19.0,,,VT,,,45.0,15.0,,,,,,,,,,,,,,,,,,,25.0,-34.1,24.0,8.0,,,,,
3784,GIFFORD MEDICAL CENTER (471301),2022,Critical Access,Voluntary non-profit - Private,38.0,43.917547,-72.666255,VT,75.0,22.5,429.0,16.4,32.0,20.3,77.0,3.6,,,,,,,,,,,75.0,38.8,63.0,23.0,67.0,-18.3,56.0,17.0,,,,,
3785,MT ASCUTNEY HOSPITAL (471302),2022,Critical Access,Voluntary non-profit - Private,41.0,43.487522,-72.40091,VT,56.0,21.3,176.0,15.8,29.0,20.5,,,,,,,,,,,,,56.0,13.4,48.0,12.0,40.0,24.7,33.0,15.0,,,,,
3786,NORTHEASTERN VERMONT REGIONAL HOSPITAL (471303),2022,Critical Access,Voluntary non-profit - Private,25.0,44.445262,-72.009516,VT,66.0,21.3,425.0,15.5,51.0,20.5,104.0,3.7,,,,,,,,,,,66.0,-7.8,57.0,23.0,104.0,5.6,103.0,31.0,,,,,
3787,NORTH COUNTRY HOSPITAL AND HEALTH CENTER (471304),2022,Critical Access,Voluntary non-profit - Private,25.0,44.954614,-72.200339,VT,85.0,21.1,460.0,15.5,47.0,20.8,,,,,,,,,,,,,85.0,-20.2,78.0,26.0,144.0,-1.8,130.0,50.0,,501.0,15.0,60.0,1.0
3788,COPLEY HOSPITAL (471305),2022,Critical Access,Voluntary non-profit - Private,25.0,44.554186,-72.591214,VT,62.0,22.3,652.0,15.1,54.0,19.1,487.0,4.0,,,,,36.0,5.3,,,,,62.0,-20.6,56.0,21.0,70.0,-16.5,68.0,15.0,7.4,365.0,15.1,,
3789,SPRINGFIELD HOSPITAL (471306),2022,Critical Access,Voluntary non-profit - Private,35.0,,,VT,94.0,22.0,366.0,14.3,52.0,20.2,56.0,3.6,,,,,,,,,,,94.0,-8.5,80.0,23.0,116.0,7.6,100.0,25.0,,,,,
3790,"PORTER HOSPITAL, INC (471307)",2022,Critical Access,Voluntary non-profit - Private,25.0,43.99947,-73.169803,VT,72.0,20.8,447.0,15.4,45.0,19.0,139.0,3.7,,,,,,,,,,,72.0,12.0,69.0,21.0,122.0,-20.0,111.0,29.0,,632.0,14.9,37.0,1.0
3791,"ROY LESTER SCHNEIDER HOSPITAL,THE (480001)",2022,Acute Care,Government - Local,115.0,,,VI,83.0,21.3,364.0,14.5,,,,,,,,,,,,,,,83.0,16.7,73.0,23.0,37.0,34.6,36.0,9.0,,241.0,16.6,42.0,0.9
3792,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR (480002),2022,Acute Care,Government - State,97.0,,,VI,50.0,21.0,328.0,14.9,,,,,,,,,,,,,,,50.0,9.7,43.0,9.0,26.0,-15.7,24.0,3.0,,,,,
3793,RUSSELL COUNTY HOSPITAL (490002),2022,Acute Care,Voluntary non-profit - Private,63.0,36.899027,-82.078105,VA,57.0,24.0,197.0,17.6,51.0,19.5,,,,,,,,,,,,,57.0,88.8,50.0,25.0,74.0,10.4,70.0,34.0,,41.0,17.3,,
3794,SENTARA RMH MEDICAL CENTER (490004),2022,Acute Care,Voluntary non-profit - Private,238.0,38.40614,-78.858322,VA,1130.0,20.4,2971.0,15.0,244.0,21.0,249.0,4.0,221.0,14.1,81.0,13.0,228.0,4.3,221.0,-18.1,216.0,54.0,1130.0,-17.6,876.0,304.0,651.0,-22.4,563.0,137.0,7.0,2249.0,18.7,512.0,1.1
3795,WINCHESTER MEDICAL CENTER (490005),2022,Acute Care,Voluntary non-profit - Private,461.0,39.1916,-78.193088,VA,1240.0,20.9,5283.0,14.3,530.0,20.7,568.0,3.7,512.0,13.3,117.0,11.4,,,512.0,9.1,493.0,148.0,1240.0,7.8,1000.0,364.0,850.0,17.9,758.0,212.0,,4738.0,17.5,551.0,1.1
3796,SENTARA NORFOLK GENERAL HOSPITAL (490007),2022,Acute Care,Voluntary non-profit - Other,527.0,36.859728,-76.30482,VA,862.0,21.7,4632.0,14.1,103.0,18.4,,,571.0,13.8,397.0,11.3,73.0,3.7,571.0,4.1,555.0,147.0,862.0,15.9,694.0,252.0,254.0,25.0,247.0,62.0,6.8,955.0,16.0,566.0,1.2
3797,UNIVERSITY OF VIRGINIA MEDICAL CENTER (490009),2022,Acute Care,Government - State,600.0,38.031829,-78.498455,VA,753.0,22.1,5270.0,14.2,164.0,18.9,537.0,3.7,320.0,14.3,274.0,11.7,746.0,4.3,320.0,6.2,312.0,70.0,753.0,17.2,608.0,209.0,355.0,25.4,331.0,89.0,6.1,3323.0,13.2,1183.0,0.6
3798,SENTARA HALIFAX REGIONAL HOSPITAL (490013),2022,Acute Care,Voluntary non-profit - Private,143.0,36.713485,-78.913198,VA,270.0,20.9,806.0,14.7,200.0,20.0,76.0,4.0,40.0,14.2,,,30.0,4.9,40.0,-24.2,39.0,10.0,270.0,-11.0,216.0,82.0,233.0,17.2,205.0,71.0,7.6,1061.0,17.6,98.0,1.1
3799,BON SECOURS MARYVIEW MEDICAL CENTER (490017),2022,Acute Care,Voluntary non-profit - Private,341.0,36.836211,-76.348365,VA,351.0,19.4,1532.0,14.0,97.0,18.5,146.0,3.6,148.0,14.1,41.0,10.4,67.0,4.1,148.0,-21.5,143.0,44.0,351.0,7.7,285.0,92.0,252.0,21.0,238.0,59.0,7.5,1791.0,16.3,159.0,1.2
3800,AUGUSTA HEALTH (490018),2022,Acute Care,Voluntary non-profit - Private,244.0,38.092332,-78.988461,VA,641.0,19.0,2726.0,13.0,209.0,17.5,743.0,3.8,251.0,13.5,,,115.0,4.5,251.0,-28.2,243.0,69.0,641.0,-35.5,538.0,169.0,393.0,-12.0,376.0,106.0,7.4,2647.0,16.2,575.0,1.1
3801,NOVANT HEALTH UVA HEALTH SYSTEM CULPEPER MED CENTE (490019),2022,Acute Care,Voluntary non-profit - Other,70.0,38.454848,-78.011305,VA,228.0,22.7,785.0,13.9,102.0,20.0,136.0,5.0,,,,,96.0,5.7,,,,,228.0,25.4,195.0,77.0,249.0,-5.7,229.0,66.0,8.0,145.0,16.2,38.0,1.0
3802,JOHN RANDOLPH MEDICAL CENTER (490020),2022,Acute Care,Proprietary,147.0,37.307065,-77.291491,VA,213.0,20.8,968.0,14.9,130.0,19.8,27.0,3.9,,,,,,,,,,,213.0,-5.7,155.0,58.0,146.0,4.2,138.0,41.0,,1144.0,14.2,101.0,0.9
3803,CENTRA HEALTH -  LYNCHBURG GEN HOSPITAL (490021),2022,Acute Care,Voluntary non-profit - Private,605.0,37.416648,-79.169753,VA,1200.0,17.4,6567.0,14.4,350.0,18.0,745.0,2.7,629.0,15.1,158.0,11.4,458.0,3.6,629.0,3.1,610.0,146.0,1200.0,-36.2,970.0,297.0,897.0,-2.9,826.0,187.0,9.2,1059.0,17.9,515.0,1.0
3804,MARY WASHINGTON HOSPITAL (490022),2022,Acute Care,Voluntary non-profit - Private,432.0,38.310732,-77.481482,VA,1173.0,24.4,5945.0,17.1,531.0,20.2,743.0,4.5,381.0,16.4,109.0,10.3,379.0,3.8,381.0,49.7,367.0,116.0,1173.0,51.0,916.0,369.0,991.0,48.2,909.0,273.0,6.1,3321.0,14.9,288.0,1.0
3805,FAUQUIER HOSPITAL (490023),2022,Acute Care,Voluntary non-profit - Private,97.0,38.714858,-77.808306,VA,179.0,22.0,897.0,16.0,96.0,18.1,204.0,5.6,,,,,48.0,4.3,,,,,179.0,-9.0,156.0,58.0,249.0,-0.9,233.0,70.0,8.1,1432.0,14.4,153.0,1.5
3806,CARILION MEDICAL CENTER (490024),2022,Acute Care,Voluntary non-profit - Private,728.0,37.252046,-79.942297,VA,1172.0,21.6,5572.0,12.7,315.0,19.2,862.0,3.2,513.0,13.5,201.0,10.6,81.0,3.6,513.0,-0.7,501.0,129.0,1172.0,18.9,998.0,333.0,742.0,34.4,689.0,203.0,7.0,2306.0,15.0,1135.0,0.7
3807,MEDICAL COLLEGE OF VIRGINIA HOSPITALS (490032),2022,Acute Care,Government - Hospital District or Authority,754.0,,,VA,576.0,18.9,4366.0,14.7,137.0,20.7,201.0,3.5,225.0,13.5,108.0,12.5,437.0,3.6,225.0,-5.5,219.0,63.0,576.0,-15.2,449.0,157.0,321.0,19.5,297.0,103.0,7.6,925.0,14.6,493.0,1.0
3808,WARREN MEMORIAL HOSPITAL (490033),2022,Acute Care,Voluntary non-profit - Other,166.0,38.930415,-78.19893,VA,146.0,20.6,459.0,14.7,127.0,20.8,,,,,,,,,,,,,146.0,-14.3,114.0,42.0,114.0,21.1,105.0,34.0,,427.0,16.0,50.0,1.0
3809,RIVERSIDE SHORE MEMORIAL HOSPITAL (490037),2022,Acute Care,Voluntary non-profit - Private,95.0,37.699712,-75.720937,VA,162.0,21.4,578.0,14.6,75.0,19.9,,,26.0,15.1,,,75.0,3.6,26.0,18.1,25.0,12.0,162.0,-4.8,137.0,51.0,145.0,-16.0,136.0,35.0,8.4,559.0,16.0,68.0,1.1
3810,SMYTH COUNTY COMMUNITY HOSPITAL (490038),2022,Acute Care,Voluntary non-profit - Private,152.0,36.850466,-81.489801,VA,53.0,22.0,223.0,13.9,55.0,19.2,63.0,4.4,,,,,27.0,4.2,,,,,53.0,4.9,43.0,19.0,100.0,28.6,89.0,32.0,7.2,364.0,17.5,31.0,0.9
3811,INOVA ALEXANDRIA HOSPITAL (490040),2022,Acute Care,Voluntary non-profit - Private,327.0,38.824128,-77.104437,VA,440.0,21.0,2914.0,15.0,138.0,19.1,280.0,3.9,157.0,13.8,,,,,157.0,-6.8,155.0,41.0,440.0,35.6,382.0,124.0,447.0,35.2,420.0,107.0,,3226.0,14.1,304.0,1.4
3812,MARY IMMACULATE HOSPITAL (490041),2022,Acute Care,Voluntary non-profit - Private,219.0,37.143006,-76.51312,VA,181.0,23.5,1041.0,15.7,106.0,21.2,842.0,3.1,71.0,16.0,,,,,71.0,11.9,70.0,24.0,181.0,2.9,148.0,66.0,163.0,-8.9,153.0,35.0,,468.0,16.8,400.0,1.1
3813,CARILION NEW RIVER VALLEY MEDICAL CENTER (490042),2022,Acute Care,Voluntary non-profit - Private,142.0,37.08894,-80.506786,VA,445.0,20.6,1264.0,14.6,134.0,19.4,45.0,3.7,89.0,14.9,,,,,89.0,-8.6,89.0,23.0,445.0,16.0,373.0,125.0,286.0,3.2,266.0,70.0,,1910.0,15.0,249.0,1.0
3814,INOVA LOUDOUN HOSPITAL (490043),2022,Acute Care,Voluntary non-profit - Private,282.0,39.074609,-77.475227,VA,556.0,18.8,3224.0,14.7,158.0,18.5,179.0,4.5,156.0,14.7,,,,,156.0,18.1,152.0,45.0,556.0,-17.1,448.0,144.0,678.0,0.0,620.0,141.0,,827.0,17.0,241.0,1.1
3815,SENTARA OBICI HOSPITAL (490044),2022,Acute Care,Voluntary non-profit - Other,181.0,36.773058,-76.583413,VA,672.0,22.0,2437.0,14.7,180.0,18.1,192.0,4.2,71.0,14.9,,,,,71.0,-19.4,71.0,22.0,672.0,6.1,549.0,211.0,378.0,-20.8,359.0,104.0,,360.0,15.1,235.0,1.1
3816,NOVANT PRINCE WILLIAM MEDICAL CENTER (490045),2022,Acute Care,Voluntary non-profit - Private,144.0,38.767458,-77.484936,VA,264.0,21.2,1050.0,13.8,66.0,19.1,109.0,4.4,150.0,13.9,,,,,150.0,-21.3,150.0,40.0,264.0,4.6,219.0,77.0,270.0,-1.6,257.0,64.0,,316.0,19.0,99.0,0.9
3817,SENTARA LEIGH HOSPITAL (490046),2022,Acute Care,Voluntary non-profit - Other,251.0,36.850592,-76.191695,VA,908.0,21.4,3627.0,14.6,243.0,19.2,1420.0,3.3,174.0,14.1,,,,,174.0,9.5,168.0,36.0,908.0,10.7,731.0,266.0,600.0,7.5,552.0,161.0,,1290.0,19.2,536.0,0.8
3818,LEWISGALE MEDICAL CENTER (490048),2022,Acute Care,Voluntary non-profit - Other,365.0,37.2651,-80.033158,VA,593.0,21.5,3754.0,15.4,192.0,18.7,363.0,3.9,410.0,18.3,107.0,12.2,113.0,3.8,410.0,30.4,395.0,132.0,593.0,10.5,511.0,179.0,481.0,2.3,457.0,108.0,8.3,1978.0,16.5,266.0,0.9
3819,VIRGINIA HOSPITAL CENTER (490050),2022,Acute Care,Voluntary non-profit - Private,356.0,38.889088,-77.128654,VA,442.0,19.1,3637.0,14.5,142.0,20.6,604.0,3.9,136.0,14.5,97.0,12.0,,,136.0,-9.7,134.0,40.0,442.0,-3.3,384.0,113.0,398.0,11.4,373.0,97.0,,3673.0,11.3,358.0,0.7
3820,RIVERSIDE REGIONAL MEDICAL CENTER (490052),2022,Acute Care,Voluntary non-profit - Private,357.0,37.06389,-76.4854,VA,625.0,21.7,4355.0,15.6,223.0,20.9,,,356.0,13.9,81.0,13.0,665.0,3.6,356.0,-4.5,344.0,90.0,625.0,6.2,532.0,177.0,499.0,24.0,470.0,145.0,7.3,4287.0,14.4,526.0,0.8
3821,JOHNSTON MEMORIAL HOSPITAL (490053),2022,Acute Care,Voluntary non-profit - Private,118.0,36.72067,-81.90856,VA,149.0,23.2,1207.0,15.5,143.0,20.3,44.0,4.8,135.0,15.5,,,78.0,3.5,135.0,0.4,133.0,41.0,149.0,22.8,131.0,59.0,392.0,29.6,344.0,122.0,8.2,775.0,15.0,73.0,1.1
3822,SENTARA VIRGINIA BEACH GENERAL HOSPITAL (490057),2022,Acute Care,Voluntary non-profit - Other,268.0,36.864158,-76.028342,VA,826.0,20.1,3798.0,14.7,249.0,19.6,261.0,4.3,297.0,14.4,60.0,11.3,,,297.0,-4.6,293.0,76.0,826.0,-6.3,669.0,223.0,584.0,15.0,510.0,143.0,,2049.0,14.4,329.0,1.2
3823,BON SECOURS ST MARYS HOSPITAL (490059),2022,Acute Care,Voluntary non-profit - Church,416.0,37.584405,-77.513262,VA,640.0,18.8,4158.0,14.4,180.0,18.7,632.0,4.2,218.0,14.6,144.0,10.7,28.0,4.1,218.0,0.9,211.0,48.0,640.0,13.0,527.0,155.0,458.0,7.4,429.0,111.0,7.4,3372.0,14.0,292.0,1.3
3824,CLINCH VALLEY MEDICAL CENTER (490060),2022,Acute Care,Proprietary,175.0,37.093978,-81.819444,VA,130.0,23.5,461.0,15.9,120.0,18.8,,,52.0,15.2,,,44.0,4.8,52.0,7.2,52.0,18.0,130.0,11.8,108.0,49.0,129.0,22.1,123.0,41.0,8.1,337.0,17.2,47.0,1.0
3825,INOVA FAIRFAX HOSPITAL (490063),2022,Acute Care,Voluntary non-profit - Private,888.0,38.857674,-77.225833,VA,1153.0,18.7,8654.0,14.7,214.0,18.9,147.0,3.5,570.0,13.3,285.0,10.4,604.0,3.3,570.0,3.2,556.0,129.0,1153.0,-12.0,1002.0,284.0,917.0,6.3,843.0,207.0,9.7,1148.0,14.9,889.0,1.2
3826,SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER (490066),2022,Acute Care,Voluntary non-profit - Private,131.0,37.335033,-76.742161,VA,441.0,19.2,2303.0,15.0,139.0,19.9,481.0,3.7,119.0,15.6,,,,,119.0,-8.7,116.0,33.0,441.0,0.0,378.0,116.0,411.0,-12.1,383.0,81.0,,685.0,19.4,312.0,1.4
3827,SOUTHSIDE REGIONAL MEDICAL CENTER (490067),2022,Acute Care,Proprietary,301.0,37.183654,-77.361466,VA,642.0,23.4,2153.0,16.2,261.0,20.9,47.0,4.4,230.0,15.8,,,,,230.0,22.0,221.0,71.0,642.0,31.0,507.0,210.0,389.0,36.4,363.0,120.0,,678.0,17.6,41.0,1.0
3828,BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER (490069),2022,Acute Care,Voluntary non-profit - Church,223.0,37.629352,-77.388102,VA,702.0,20.1,3687.0,13.7,256.0,19.6,349.0,4.4,345.0,15.3,92.0,11.5,30.0,4.0,345.0,2.1,334.0,102.0,702.0,24.3,584.0,194.0,498.0,16.9,465.0,126.0,6.9,3737.0,16.4,388.0,1.1
3829,HAMPTON VA MEDICAL CENTER (49006F),2022,Acute Care (VA),Government - Federal,,,,,88.0,23.0,567.0,13.8,93.0,20.1,56.0,3.9,,,,,,,,,,,88.0,25.9,75.0,35.0,72.0,7.9,63.0,27.0,,,,,
3830,SOVAH HEALTH MARTINSVILLE (490075),2022,Acute Care,Proprietary,291.0,36.577072,-79.40481,VA,675.0,23.7,2422.0,15.8,354.0,19.6,95.0,5.2,156.0,14.2,,,132.0,5.0,156.0,23.9,154.0,46.0,675.0,38.3,543.0,210.0,980.0,11.5,879.0,280.0,7.0,1235.0,18.0,230.0,0.9
